ID,R2010,R2011,R2012,R2013,R2014,R2015,R2016,R2017,R2018,R2019,R2020,R2021,R2022
1283298,5946395.0,3734105.0,2953046.0,3905496.0,3058290.0,2130281.0,6815413.0,4841695.0,6584565.0,6181275.0,5709817.0,2616035.0,6635348.0
1283998,123802.0,160022.0,76125.0,349749.0,298989.0,298989.0,212078.0,131363.0,176951.0,235539.0,331654.0,249706.0,679994.0
1286133,272629.0,244639.0,706680.0,-7644.0,1366885.0,288625.0,150000.0,5559428.0,1474240.0,2319104.0,-729273.0,5891458.0,3019062.0
1286840,441047.0,336039.0,282071.0,359605.0,472625.0,128092.0,183001.0,237910.0,907633.0,341186.0,1757610.0,4077192.0,2789814.713
1287785,738813.0,783856.685,981000.0,965862.0,817181.0,222289.0,86530.0,65539.0,93563.0,201268.0,967485.0,3986485.0,1446701.0
1288030,167393.0,64197.0,432480.0,-618294.0,156065.0,-50189.0,298764.0,647717.0,566535.0,-1011503.0,1065084.0,1117809.0,1795806.0
1289612,764822.0,920033.0,1291449.0,813863.0,199345.0,-387020.0,471615.0,926676.0,658302.0,625436.0,617694.0,451308.0,953485.0
1293791,992200.0,1024953.0,606853.0,947000.0,789798.0,598091.0,1443192.0,1704583.0,822042.0,1458751.0,3259788.0,4221490.0,6367949.0
1294022,164975.44444444444,164975.44444444444,164975.44444444444,164975.44444444444,69678.0,96472.0,163430.0,145598.0,178351.0,164488.0,154394.0,420900.0,91468.0
1295457,735298.0,682047.0,615289.0,433337.0,291574.0,71769.0,121592.0,196816.0,278739.0,281557.0,979280.0,182539.0,213982.0
1300987,654502.0,236328.0,291444.0,427995.0,2254505.0,139153.0,1705279.0,1921499.0,588648.0,1017093.0,6046914.998,3505563.0,1327292.0
1303843,313762.0,197832.0,94791.0,273817.0,337330.0,335533.0,372314.0,296573.0,280401.0,229825.0,-811907.0,639504.0,1538315.0
1304816,81994.0,42688.0,38566.0,-325854.0,78140.0,46378.0,197438.0,14319.0,131629.151,162396.433,322419.733,132374.0,315800.0
1305117,65736.0,59206.0,139608.0,179941.0,187984.0,235469.0,106421.0,241347.0,533052.0,756805.0,1193388.0,784348.0,1289669.0
1307714,1366364.49775,302850.549,1196302.618,573736.806,675814.0,921654.0,2161109.0,2269969.0,1762052.0,1541879.0,1039394.0,2485427.0,1466186.0
1308393,166477.0,185069.0,157874.0,-328568.0,313105.0,156780.0,142039.0,159818.0,616714.0,-819957.0,-2388303.0,-2016402.0,352707.0
1308974,332967.0,809801.0,1496407.0,490360.0,2498847.0,1701114.0,1691101.0,2339506.0,2464016.0,525608.0,941.0,202419.0,-1144246.0
1308981,104657.41666666667,38817.0,-128534.0,-279799.0,203915.0,368909.0,381133.0,480813.0,-35595.0,-1830618.0,-970696.0,1684884.0,1342660.0
1309275,29979.0,586.0,15654.0,17604.0,92922.0,70062.0,12002.0,-18618.0,-43399.0,83768.0,135258.0,890917.0,890917.0
1311788,25247.0,193376.0,116252.0,20360.0,78020.0,53126.0,26582.0,1255315.0,120997.0,148870.0,97019.0,66431.0,464762.0
1314266,261639.0,306785.0,327244.0,536377.0,438807.0,221728.0,198641.0,256481.0,246178.0,440071.0,720475.0,833291.0,1334518.0
1315400,231769.0,397906.0,517278.0,593834.0,681933.0,764176.0,359861.0,184090.0,135065.0,200961.0,11518.0,37061.0,53051.0
1316828,25002.5514,157858.10821,238292.488,236936.75675,235581.0255,234225.29425,232869.563,157429.4517,130595.88018,88198.0,-460783.274,173444.0,221698.0
1317409,425116.0,552670.0,238293.0,481815.0,1796997.0,159697.0,136353.0,675331.0,234838.0,158843.0,523646.0,3014398.0,1358948.0
1318200,103840.0,88681.0,152352.0,-17548.0,-218616.0,-11241.0,113448.0,-62688.0,-33739.0,-913387.0,30524.0,1042696.0,652842.0
1319166,-81936.0,45013.0,65906.0,82495.0,51941.0,-188317.0,30063.0,257771.0,-1192275.0,-278494.0,-278494.0,-278494.0,-278494.0
1319327,63954.0,61438.0,48510.0,37932.0,102990.0,95089.0,-24840.0,71730.0,20506.0,38172.0,59665.0,26881.0,114518.0
1319789,315495.0,-93831.0,122444.0,837095.0,350889.0,272570.0,400805.0,1067095.0,1173555.0,140289.0,318405.0,1951667.0,1754918.0
1321315,3079098.0,925774.0,2117857.0,2688736.0,3109315.0,7941765.0,1424018.0,762368.0,921859.0,393828.0,2730793.0,2899112.0,2314417.0
1324556,4532208.0,4782884.333333333,5033560.666666667,5284237.0,9047385.0,5428563.0,2287338.0,1778201.0,2155650.0,2265295.0,3406524.0,3932456.0,8459847.0
1326558,254761.0,209111.0,210544.0,452808.0,-90308.0,229727.0,26981.0,206003.0,105331.0,112442.0,256682.0,181867.0,78875.0
1326922,1124659.29333,1466408.0,1398410.0,2253450.0,1945245.0,2342259.0,2140312.0,1805517.0,1991797.0,2318967.0,2518296.0,5294089.0,4516673.0
1327132,1744679.8636363635,1744679.8636363635,679046.0,3948182.0,2994679.3333333335,2041176.6666666667,1087674.0,689097.0,7498888.0,-81967.0,-36897.5,8172.0,363428.0
1328056,-205640.0,128848.0,194604.0,584416.0,196463.0,417184.0,248171.0,151202.0,308134.0,356378.0,317489.0,774573.0,532711.0
1328539,-61687.0,-25656.0,110059.0,135164.0,297613.0,491297.0,343433.0,167808.0,119090.0,68300.0,-143947.0,-114701.0,18725.0
1328791,73295.336,163953.00199999998,254610.668,345268.33400000003,435926.0,1015881.0,-293379.0,70507.0,766134.0,103929.0,-642742.0,-99501.0,857304.0
1329589,1204715.0,1000016.0,1044972.0,1311130.0,1302722.0,744602.0,6048345.0,712571.0,1948119.0,-318204.0,-616429.0,267057.0,-97408.0
1329757,373029.0,199102.0,866178.0,558259.0,167108.0,468592.0,766138.0,445385.0,915147.0,1106276.0,-1950306.0,2750924.0,2434375.0
1329862,210394.0,345147.0,341404.0,486195.0,494395.0,463936.0,713460.0,567925.0,426752.0,515180.0,268824.0,359491.0,691049.0
1331563,144775.0,114606.0,69746.0,90761.65245,76865.0,124026.0,19280.0,2015524.0,70070.0,102372.0,-163059.0,23722.0,214313.0
1334804,338584.335,767249.188,529900.867,1266632.923,1201593.04,1136553.157,791404.053,341816.14,631453.766,567359.0,598814.0,802624.0,1022120.0
1336386,249119.0,188230.0,210675.0,230615.0,203389.0,-82779.0,324519.0,209238.0,185321.0,59250.0,6237.363,41625.06,61973.0
1337093,260123.258,595027.85,39387.0,180571.0,449101.0,885876.0,598622.0,-227630.0,299661.0,26658.0,520354.0,338838.0,119932.0
1337681,561391.0,3552692.0,684780.0,897802.0,273993.0,276801.0,863686.0,514440.0,504675.0,587270.0,323419.425,961200.0,420494.0
1338318,5526935.0,3774095.0,4322184.0,2532031.0,2037828.0,2675153.0,824061.0,1545263.0,2603805.0,2601731.0,1654875.0,1936014.0,1207912.0
1338423,151114.707,765815.0,713831.0,731260.0,951385.0,788993.0,1269934.0,1015738.0,540363.0,1494204.0,1316162.0,1501342.0,1373132.0
1341727,53139.0,63156.0,218996.5,374837.0,277088.0,427583.0,245100.599,264769.0,444292.0,369474.381,541177.0,884655.109,1193842.0
1343050,657009.0,846555.0,726991.0,808691.0,868780.0,1042653.98,1363261.0,1261450.0,1030665.0,1330853.627,1677994.419,1673170.0,2406501.0
1343302,944953.0,1980863.0,746453.0,1320244.0,2132439.0,3962879.0,3212068.0,3583725.0,3870800.0,4707489.0,9812872.965,16684591.4825,23556310.0
1347201,1366381.0,1100424.0,1327197.0,3107458.0,6150274.0,7018376.0,8196395.0,6912542.0,3448657.0,4129351.0,3144853.5,2160356.0,-3153295.0
1348510,290643.0,380815.0,157819.0,458946.0,188356.0,398317.0,459338.0,1467661.0,2235180.0,3453272.0,2289037.0,9103500.0,2463299.0
1348762,264451.0,937573.0,228274.0,315205.0,-29171.0,-387647.0,52857.0,125725.0,-356649.0,-1374113.0,147504.0,-829769.0,-564430.0
1349364,16385.0,55910.0,173737.0,209795.0,142630.0,295420.0,252921.0,411797.0,199710.0,313073.0,207166.0,504840.0,495181.0
1356735,517809.0,143721.0,212045.0,515249.0,435977.0,803454.0,1727730.0,1127487.0,2095165.0,2563008.0,9854260.0,11512650.0,910810.0
1358212,62207.827,89890.0,94851.0,29049.0,70052.0,62412.0,152366.0,206603.0,149650.0,28341.0,54059.0,112249.0,93675.0
1360879,129715.0,47205.0,206716.0,158716.0,849724.0,1264507.0,754639.0,829766.0,279362.0,377331.0,878408.992,2770254.0,2570134.0
1362048,1989074.0,869368.0,1567088.0,2612167.0,2572321.0,350098.0,709926.0,232999.0,1189403.0,6727389.0,8415533.0,37576.0,676127.0
1362174,-42617.0,26974.0,3860601.0,3139489.0,1484493.0,1979535.0,1738968.0,6504098.0,3460439.0,607317.0,-580852.0,18988.0,-44242.0
1366353,296923.0,887107.0,924008.0,741020.0,113859.0,856043.0,1800782.0,1866904.0,3630072.0,4072588.0,6863327.0,10567964.0,14418329.0
1366521,250159.0,-136604.0,223441.0,615759.0,280202.0,321045.0,295807.0,336840.0,15761.0,63538.0,-623218.0,431262.0,797678.0
1368341,1147325.0,591726.0,632699.0,455140.0,705013.0,697511.0,3144886.0,3076541.0,-2729772.0,1239431.0,1327006.0,2364581.0,4099068.0
1371246,216673.0,51146.0,237725.0,733215.0,1306166.0,1284070.0,311183.0,112366.0,1410690.0,1201406.0,1458809.0,4025551.0,2956582.0
1371274,148526.0,309650.0,694227.0,328904.0,539875.0,468066.0,3747834.0,-294450.0,3754279.0,3953539.0,4018798.0,578665.0,2614634.0
1372940,26997.0,12867.0,24051.0,85569.0,96613.0,161176.0,-15103.0,336411.0,255002.0,316269.0,493777.0,954928.0,990393.0
1372982,182167.0,214529.0,320515.0,265926.0,400924.0,238719.0,194013.0,336707.0,276285.0,112358.0,24793.0,38627.0,393744.0
1373129,1052275.0,1906529.0,2165212.0,2646005.0,2177878.0,2510879.0,2898646.0,1037486.0,1227699.0,1095383.0,11582.0,5311424.0,4998832.0
1375530,70048.0,34601.0,79029.0,-52374.0,165400.0,139275.0,190158.0,184104.0,75902.0,528891.0,1230699.0,402956.0,377586.0
1377574,292685.0,153109.0,152079.0,426634.0,279000.0,148240.0,475870.0,471679.0,30878.0,67793.0,160243.0,76460.0,725052.0
1378764,-418161.0,-827457.0,269173.0,-349886.0,6562617.0,-1017946.0,1111569.0,2132492.0,-1060240.0,195132.0,3569857.0,-183749.0,30346.0
1381683,102929.0,214583.0,186341.0,410636.0,392945.0,409438.0,756672.0,559016.0,292592.0,142902.0,407388.0,476103.0,891981.0
1383489,2008008.0,2094113.0,1324270.0,1385863.0,1394030.0,688018.0,2114453.0,791996.0,1914556.0,2449708.0,1101241.0,12811992.0,11148794.0
1384539,257314.0,589668.0,621671.0,329542.0,672559.0,1560371.0,1468718.0,894645.0,1804826.0,1946978.0,1089423.0,1859345.0,2460364.0
1386926,1050560.0,1180625.0,1329988.0,1425318.0,1772105.0,2115675.0,2220339.0,2783175.0,2320140.0,2131600.0,1738261.0,2670828.0,3011099.0
1390006,2263320.0,1020036.0,989359.0,1659091.0,2135571.0,3442816.0,3427818.0,1936335.0,6011699.0,6436349.0,3237002.0,3334814.0,8469793.0
1393261,37659.0,1491.0,31481.0,13477.0,13808.0,-69000.0,96273.0,8378.0,127124.0,69534.0,43846.0,40139.0,11171.0
1393289,172640.0,105321.0,21759.0,63000.0,49412.0,458970.0,501605.0,-133643.0,-183879.0,-494927.0,-494927.0,-494927.0,-494927.0
1393954,1998594.0,5687870.0,5768040.0,2645484.0,2892484.0,1311344.212,1790072.0,2719123.0,3677228.0,5070336.0,11719794.624,6001096.0,1259119.0
1394423,552184.0,769324.0,655781.0,1600643.0,1797536.0,1477409.0,4695274.0,2825249.0,5227324.0,2208706.0,6861200.0,4709401.0,6270443.0
1396229,23651.0,33571.0,39050.0,9194.0,54973.0,35167.0,86944.0,100044.0,175746.0,-2095.0,6777.0,72135.0,104157.0
1398091,-363163.0,5164717.0,78149.0,-23951.0,-13886.0,2069136.0,1864902.0,-178464.0,-2155523.0,1130805.0,1616643.0,845504.0,3301325.0
1398553,4946170.0,3632228.0,2988329.0,3071491.0,4438416.0,3026819.0,2923009.0,-721718.0,2138297.0,4666271.0,-11945898.0,12322344.0,12305877.0
1399113,59065.0,176095.0,215231.0,214759.0,161510.0,190860.0,103715.0,6358.0,28024.0,15009.0,-981180.576,207133.198,177750.0
1402235,167548.0,236905.0,123278.0,50658.0,116937.0,70062.0,107937.0,170227.0,66098.0,270770.0,80062.0,324498.0,687395.0
1402914,151515.0,115505.0,115821.0,85363.0,131775.0,71097.0,1926909.0,210132.0,461389.0,245745.0,174377.0,355907.0,8761959.0
