ID,FondoManiobra2010,FondoManiobra2011,FondoManiobra2012,FondoManiobra2013,FondoManiobra2014,FondoManiobra2015,FondoManiobra2016,FondoManiobra2017,FondoManiobra2018,FondoManiobra2019,FondoManiobra2020,FondoManiobra2021,FondoManiobra2022,Diccionario!A1
236966,846588,700820,1205105,662539,736908,50459,1660718,2185687,591712,482480,1101713,1918643,4023814,
237029,168898,64752,125502,258888,78275,545957,"703759,835",740036,837206,929793,703512,627232,628738,
237036,980213,1640203,33119,50689,25454,212780,233826,7114780,4156874,-1110714,485507,706731,1066395,
237176,30716803,11205177,23442475,29310925,-2303790,"-2495664,343",22528756,4467613,11346159,36059668,10574948,"16135835,289",0,
237218,10454708,11999993,3657041,9902780,7854031,3182083,3446279,5176729,3524953,2605393,1690774,1123385,676910,
237260,3380756,3842492,3210679,3073423,2797826,2699941,2982270,2804663,3941441,4695244,6319522,7372946,10627404,
237407,138105,146161,79394,94719,117329,98102,-232123,-731977,-557753,-605435,-495243,-453994,-446962,
237421,-1183761,-232430,1364881,-648953,55939,5254268,4347803,2695351,3874334,8084826,4959321,9272920,8282520,
237463,200915,186662,254752,381659,512449,805823,741111,532110,1186630,1007072,767954,"394834,259",0,
237652,261708,-161495,319998,211730,-116385,-845565,-62542,79467,-368368,466701,535281,879150,669931,
237659,290444,318750,329115,565943,563320,599352,344003,312264,486115,633721,"358698,68",508217,240594,
237715,2441368,2239784,2675358,2099368,1307395,2427328,107325,1935509,5293064,3532522,1048748,1658996,71860,
237736,667715,434898,911225,1219725,1158302,1407719,1714724,1123851,1325102,1518574,-626181,1197271,2948856,
237939,414968,335625,2589,385070,143362,-27870,-475969,137407,627667,435622,339347,374260,398436,
237967,1711759,81798,742684,2430510,3777752,6426362,1718150,7595197,1587997,1138123,-961781,2546419,-3919478,
238009,5621589,4070991,3522156,4966733,4643915,1154962,1367936,2688584,543323,2549880,9518963,4894514,9629706,
238079,900317,1093655,1036158,817405,990814,1036709,813559,814743,674146,1082664,970607,1918031,2224011,
238163,513117,114009,591289,362041,81942,54937,1370017,697914,206918,12160,-5295434,196183,969373,
238275,47848,80398,71863,-250919,3756,0,104843,33882,-94789,-5838,10880,1219183,2016117,
238303,683806,150820,37022,623832,695477,-573685,3545660,897662,585220,-171830,777382,158933,1257290,
238485,923765,449981,95700,35916,1469031,421733,923871,752958,574018,509481,1114793,-493428,725228,
238618,1494749,1108840,683203,969798,1490445,1686767,4752783,2798742,1116823,3803103,2797940,3911695,8886392,
238688,783061,798891,1121412,1253520,2266592,3100689,2884563,3363759,2771796,5943016,"6324170,363",2664101,3990803,
238737,1506430,1997910,5412179,-815454,5817015,844394,5554201,29763128,5758524,9384879,13201744,18995219,22081097,
238744,240125,415143,136524,620647,253166,-813281,518658,446033,751761,-62166,90401,422108,-816557,
238891,333567,"497440,22",582028,"480552,57","1416354,655",23837,"152714,309",1097159,288335,858927,720943,14637639,12692164,
238919,0,43491,567868,131279,31382,53061,98014,43219,163769,151171,134602,90570,442068,
238982,6868,"32433,573","3454,907",4380,6954,16016,79112,-84996,699494,124264,-52668,55729,-52694,
238989,782127,552874,672153,1162231,2638570,4551763,1489801,3488401,2255364,3120640,2408214,6759717,3768855,
238996,3877669,3667261,2714881,3049301,3102852,2553046,1767249,2176337,1468482,993233,-1721377,-682365,2063841,
239045,1078177,2134401,2120668,3731303,3107457,5298407,6653939,5474340,4860300,2945477,4404998,11041218,10267024,
239073,"890310,749","569468,399","1107195,599","2432305,606","2688603,82649","3833437,24519","1171101,79543","1878272,1065",1358539,773669,1537245,1954073,1586080,
239115,19131,382338,2787334,337491,110302,7124945,-2381652,-1073487,552281,-472445,-797990,-325162,-1657182,
239185,20280,5491,"13415,394",6871,25618,27506,22842,35563,15073,-13567,-25041,-74606,35801,
239241,14161,5789,-1175205,-1824734,-2044943,-1532304,-6038273,-2998044,5816700,3863,-5912914,-36369281,0,
239276,249988,112130,1753596,72680,136702,258355,354549,116157,190760,167450,202402,758513,1962005,
239290,13843080,9468042,40719633,59012907,18037841,9292378,6353260,-23516227,31620582,35509476,37369995,76081011,43515887,
239332,13566488,5882690,71120,17318566,27099980,25921726,12053968,14088720,-7897361,-34959483,0,-57142257,-6961534,
239346,9013,10117,9035,2290,6460,6673,-7857,-17251,6170,2109,7402,-12771,-34965,
239360,2935390,1655283,1011197,1402017,1784098,1730196,2063909,563708,80519,146020,492374,-2146989,5530365,
239465,0,24224,0,68346,51146,108642,155628,77329,134295,258509,271941,506682,578846,
239500,0,0,20289615,2984736,-15591582,-12157010,1228628,-1237096,-3522934,-1099045,-2414893,-1245469,208375,
239542,105461,-885922,56692,-918552,-967009,623990,-520787,-68909,2168813,391885,-1323540,5620068,2062521,
239577,604095,839240,802153,1599471,1368255,2227932,3825760,2261961,2660651,3176094,926757,2681339,5040809,
239647,-13349,190849,-152502,160677,-1121322,-207004,-808172,1922749,-414419,245405,268270,437093,1702000,
239696,1159035,1269725,2465863,2207763,7279378,6458225,4455230,1097737,2380681,5526895,"6090656,235",7820368,25392040,
239759,246714,319257,217199,765214,355621,329317,388594,4202070,682008,637278,556328,312714,312725,
239899,636303,765697,852908,4905696,410696,456281,1254046,1157434,1067828,1086884,87191,196888,589500,
239906,292255,663725,712613,768615,732219,644587,981141,1408095,1456666,1966135,624203,443763,9240769,
239976,184040,122127,-90944,368440,23946,284317,336805,-264381,102727,-1201835,833838,460228,1255833,
240025,271230,"229360,576",94992,350826,1664565,1321507,1092302,9869,631102,-1230779,1412870,9375191,4095123,
240074,167080,180207,90025,-1001681,-920573,-5390515,-4336727,4512593,3637679,1714380,1668331,572034,-139493,
240081,-1359163,1548252,1440222,1156415,-2725420,-1288958,2551324,-330171,-768875,3343165,7586692,4521794,-1303103,
240165,23259588,29984675,25578000,16622514,24797052,8590238,3873232,15271461,9435441,18953292,20555273,47430270,38534062,
240179,-4815541,4719695,2970067,540657,-3789716,5511497,-4210863,65831,-346544,-28820,154621,228771,75036,
240186,-132160,386772,-44135,608407,2948,-255082,67785023,760018,-195667,559951,-593066,-339523,-534689,
240235,804243,552637,720614,800248,549318,1614146,570062,849728,928502,1144131,0,1416483,1304233,
240242,59920,56639,82492,101725,134540,172507,322536,15822,40139,89926,166654,362018,371270,
240256,335378,352011,405976,659219,599820,960119,752417,851874,997001,1079572,1261752,1646083,2200716,
240277,376874,30249111,-7350000,579310,981051,248555,1469728,283056,-399241,64180,26913,4704,10694,
240291,706651,942325,928822,982156,1423984,1394115,1401112,1107789,731332,1059992,905799,1998309,2859449,
240312,642461,1963773,171367,1908174,409769,"513012,788",193596,-47979,481967,440227,1115338,964777,939763,
240347,0,125789,204398,0,385484,-105055,0,479899,43016,55935,-111912,-381887,841913,
240501,177739,26420,-312037,27643,-67829,18354,387397,28013,-88922,154217,-102157,-89497,-77943,
240529,-485157,-299456,20744,24966,16700,-20874,41990,-268550,35408,10250,-228682,25232,70647,
240557,-4886314,6632994,7577916,23486877,12230661,12330166,18234644,-6994401,699688,40482056,37710800,35325329,18541965,
240578,432484,0,-7023261,-8183101,5915395,3565342,-37784,-2765478,-418575,3249177,3365363,18711037,17307765,
240725,1017445,7611329,2905784,6494061,3028067,16070493,14521259,20020189,634384,5542105,19170942,55926010,52080381,
240732,698368,799290,784522,2177517,1383197,4012089,3893661,2046935,1873492,3777159,2981885,5108137,10315494,
240760,100873,148131,119676,198062,383012,518833,596169,780559,814553,1328244,3886083,2851663,895823,
240921,42143,"31854,785",52644,-21638,62267,116708,-109068,-210821,-930918,135394,-188692,26000,463289,
241005,462758,2069395,2741650,3407105,4798778,5082587,0,3821342,-1119887,5027381,1154530,632898,-3163949,
241145,-274642,-1022324,-495069,45129,-13210,-63689,-108409,-279068,117869,-122585,3927,91064,46661,
241159,98272,67211,68316,95799,519828,36488,22527,242752,175760,127561,115127,57750,145404,
241166,242114,1740714,238692,390239,-1886348,-789585,355578,410816,412584,838915,-921319,-81844,2353082,
241383,8159719,5691506,6033837,5463272,3597465,3321335,1503701,-2702829,52804,"2379687,382",750712,33337,833666,
241432,27457,19102,"36808,224","29287,711",51167,39041,140355,5605,147118,77891,57277,38657,38176,
241439,574386,773058,1447799,775044,1339087,1975276,494035,865534,256922,530431,-422850,1539130,1468850,
241572,0,0,0,0,0,0,58732,4050,114433,95105,68683,61349,54761,
241677,33219359,38549055,19326523,11699673,7839652,302856,277389,177295,2324667,13661192,331011,8401624,8551591,
241691,83483,304083,342657,133751,99274,-32283,-406874,340829,-719444,-442448,188129,-55728,-125898,
241719,-200196,-221193,-125605,-11474,-475593,-494362,-673557,-376833,-449476,-769434,-433411,-1006586,0,
241838,87647,-9668,48975,-11428,58822,-17674,555386,-240860,-237437,742798,263989,366298,62952,
241866,"12458,274","5577,729","521555,497","698644,953",840093,688159,502844,620820,-7624915,406153,490218,244205,-1530007,
241901,-6708,-1047564,-641877,-692549,-123608,-72126,-627499,-609729,2028472,-942556,-375190,33721,-284653,
241971,-912312,399334,378750,388181,1172363,384081,-997653,990193,626783,959270,"2571354,298",6692774,4304571,
242069,691604,1895410,1310551,193689,-204810,1512038,85864,818054,909541,530022,242118,70106,1219110,
242160,53876,53431,62828,138139,165303,259273,571000,346538,341748,867135,693301,456188,722390,
242181,135947,109516,329338,"781862,874",1488208,0,462346,-2733341,-1190502,-1315695,2360875,3064261,2187064,
242300,91499,99895,138181,170865,195151,290214,452348,432958,459588,507348,637388,703487,743912,
242468,136708,68785,36063,1036414,50287,81453,434659,531781,163458,141180,-140306,44258,89439,
242503,551852,57290,54713,353190,300600,198488,125925,424301,271880,439738,1055056,1289131,809532,
242531,431878,459012,1480872,1621057,1731427,1396668,2439750,5280432,3388542,2059313,3272432,1612569,-5495521,
242650,456716,461803,142192,"77651,603","114947,658",249069,-1106720,-1085157,-1178370,-65960,-506666,"94928,245","233897,11",
242734,10800056,13691322,1704415,-11682782,2614568,12077388,13711456,12396724,7872987,-14257432,-19882515,46465025,55528282,
242748,793749,420020,141080,-1788825,931694,846532,-2895890,-736298,-306009,2044862,-2036945,-1507852,-2080718,
242755,566935,1782956,3257727,2947983,3186486,1701885,2664979,8615502,646665,408049,-1005716,243971,272109,
242860,2215518,1702859,2162022,3278340,7165157,4233490,7066718,7436519,4427394,3833864,4451201,3545815,6565974,
242916,6511788,"7065379,255","5343669,564",8098467,4177410,3958197,693972,2439795,3715563,4277837,-5397798,-1872199,-461197,
242958,1594344,1094068,1483887,754368,-2594968,1629786,1489541,-765508,374225,1869978,551713,2379437,2819809,
243014,2390782,1966556,513649,88178,391848,323202,1308099,-608722,489779,1417482,2026627,2882808,5012346,
243028,30893,61922,76629,133175,156354,236402,-333993,556619,650984,-245943,"630174,306",2504662,518887,
243070,4222456,2647450,376772,3726659,6117237,9399232,10827784,9605530,7847788,8842000,7443456,11844227,12878287,
243119,139993,603551,241779,5641393,145029,3310246,1065598,47618,109625,35058,262483,203661,278201,
243203,221988,193790,226162,-756280,-701049,-3210084,-1425115,-253928,233795,-42330,-2347956,920733,-191805,
243210,8463003,911901,87631,-124978,-1827122,0,"-348231,867",73404,197702,37149,162874,87708,142333,
243217,130679,1742660,1453213,801751,1137016,3202444,3302467,1210596,1189735,1479692,1114689,3847396,1758713,
243245,166462,-138971,2286372,799709,957498,-1303245,2082257,1288571,2349532,1319750,736549,198325,213121,
243364,743206,623135,2792966,2179061,1180978,5592949,13514668,13475349,17746334,16091763,11053258,33486944,50358542,
243371,88233,3021,38033,46735,86610,90943,-274804,-470476,61685,13328430,-13234194,-208266,1100879,
243406,14233,16942,20098,1645573,83465,68609,88792,100328,142321,161800,243700,411238,724558,
243644,668292358,1007137191,662309565,352275877,162616867,-39397663,474645518,1068701203,968597017,-207221861,-822026164,1568582204,6049034719,
243651,4106,-41617,18879,-38084,-1906087,42854,-62974,181790,602522,-571098,-157876,36325,-847304,
243658,49859,446304,646784,973877,5690774,761576,609512,130353,1668588,5270046,3213655,"944185,332",776464,
243833,2657187,2920212,3090532,1348720,729090,2134695,6203727,-395322,1629946,3484888,-5945518,20509106,12222716,
243924,8095582,8668802,10535786,14654751,22946125,23574985,23660956,30561076,29814445,32349722,22296278,25780887,20595061,
243994,399033,425217,707294,535322,688777,749228,1386419,924793,1561340,1012433,1123286,1446710,2331728,
244022,-31979,4479,49347,33071,32857,45588,62146,48558,47792,23035,"4380,972",22900,1704,
244050,-2196014,3924804,2022425,-541229,4743,691718,409182,-183348,-310148,743863,157318,121529,102010,
244162,919411,1303656,4045179,3835948,4783179,5687885,1567115,2082352,590516,11767358,6975241,1112348,1322658,
244218,218194,298005,343614,550846,405681,-410027,1295347,-1287589,39690,-303159,-619392,1463494,489163,
244253,26889,0,39872,54066,52574,70551,73544,91877,142416,149380,81124,-19635,120357,
244463,1010970,1255401,1527079,1762311,3181984,1680429,-287000,1025244,6023237,8063753,4528072,5431350,1908111,
244498,97054,79519,68222,59179,223162,7872197,9504635,9310727,222432,-172612,72391,56895,213047,
244533,1316231,-968251,-5401351,-9008251,-4991268,-10252156,-4183596,-6110662,-6804395,-5485538,-1678357,-839730,1463226,
244540,4171966,-1440791,-1210216,-1964144,-6299259,-5538733,-6253409,-7856903,-3148816,-4110012,356723,5631335,4064079,
244778,3394894,3428943,3693417,1741152,3202379,2843558,440502,1815195,393429,212773,5074718,-2572607,-6545357,
244813,374120,305717,575791,741078,533907,537436,625773,563946,497214,649688,286004,76815977,1026023,
244855,-55932,-518033,98932,6459,58001,-113092,115074,189606,2964244,1675905,223699,-247094,-233918,
244862,2033102,1466057,1643195,1678950,594095,705843,1233297,767202,635780,-1186556,-1302772,-1676183,-1519815,
244890,148716,131592,917099,309304,241574,153508,542347,159463,265341,10953270,814272,1028312,24649991,
245037,180471,253404,17255,-79619,219630,449927,-964194,8611,-99797,-220099,229975,241950,593809,
245086,46165,57854,58790,42342,83705,90237,118963,127117,142341,171040,73351,"287314,15",316224,
245289,14416,7983,43551,139662,53636,547274,646891,567858,748421,436244,398870,64961,111784,
245373,114825,6521,-171268,151806,167619,150251,308500,442824,724365,663066,-637890,738999,639925,
245562,401909,515785,553456,5297,1676383,818504,-2140048,1933070,471525,395561,214954,-678353,507077,
245583,4454468,"2126812,81","-287398,45","201911,574",271007,288529,203356,365293,210903,591433,835886,1605467,1795060,
245618,135360,117191,153254,47556,45635,3676,148301,113548,132012,259355,8160,39410,-230280,
245660,658939,735161,469457,794547,355306,351430,16322,666461,439893,237204,767394,876702,381059,
245674,621946,903972,1409314,1882725,221385,311126,183644,649540,1561398,1280424,1498181,558510,980315,
245751,47692,"150481,312",122520,246063,244509,204516,224817,"223990,086","229444,337","293824,542","297506,477","421119,443","511065,086",
245807,51299037,64100911,25182393,43151171,69920867,17593539,-130472568,-44149639,-3542470,2283512,-134682794,-7728287,23956748,
245912,1713423,2188792,1315156,929670,1467105,1799374,1948769,1435164,735492,2769182,773536,194643,2442024,
245947,247595,214377,883755,596841,629501,1566285,1837782,1566427,967367,"2118478,406",1668636,2820518,4788049,
245954,8827,209737,144952,117909,117357,313941,775699,194580,-23861,49609,62798,-308994,5435,
245989,930,-147503,27353,80332,66676,269089,376508,42787,176657,518298,3741,354106,855758,
246150,2867226,1180600,1002994,165600,1487988,35640,62293020,6738,-2731124,-6187974,2574200,4394611,"1470079,636",
246192,-332785,21572019,601099,294471,302453,9076664,5573202,2755741,-630638,8071770,5301154,4131011,8161400,
246255,5824,1604,"2792,575",741,-36572,642269,118618,-250702,2711,173047,-163917,-134141,-212871,
246304,75947,1533567,-23087,-334849,-6789,719318,7900849,4244847,1025409,-66953,68880,210699,932398,
246339,1104123,82996,1297628,963712,175911,1883172,2154842,5267573,-706206,1944162,1742002,-781201,695273,
246535,10820463,7122865,14552929,13267655,11126358,12433443,18184501,13479469,12100242,19197540,0,19016883,26423742,
246591,"521810060,007",687755050,468570848,441495920,288718502,88459875,215226623,184709963,308124255,219740874,325590742,639757814,969114420,
246647,"122195,949",130133,282025,321965,615979,703983,1021407,561822,1012688,1611164,371248,"954744,363",0,
246675,270289,760492,400135,105731,68236,383002,971472,-61195,39542,154228,0,101575,841125,
246913,30230,29007,11060,133651,18809,58210,0,53765,125729,230123,42433,257154,484607,
