ID,AC2010,AC2011,AC2012,AC2013,AC2014,AC2015,AC2016,AC2017,AC2018,AC2019,AC2020,AC2021,AC2022,Diccionario!A1
92327605,10720329,22256141,37557720,32661984,28251280,57057486,62292233,61521840,50616348,101299051,95906328,109093926,125800277,
92329262,"3273732,081",5476762,6835139,10532320,13923334,7838640,8285825,9914271,8976080,8591805,9354454,6524153,5447041,
92341872,5394417,8092078,11128878,11469600,11458666,11324978,11367652,11976220,11735421,11340760,12223928,14558050,15620735,
92342648,0,49206,82000,"94972,367",0,8763533,9040403,17023223,12724008,2850920,0,0,0,
92342752,"478897,217","1186758,718","1710542,458","2502706,95",0,"3849457,808",6549118,7504415,7734444,8843890,10129217,14882897,18306687,
93081740,0,"18278016,60463","27180948,78149",58405078,76969524,71845081,43966380,50292797,49653776,34877564,30053502,"39374930,001","60088503,52",
93149028,12279880,21918875,37030000,51718681,65996233,78149660,88911655,88879234,83985141,85292091,86048560,83184971,83456226,
93180024,"3915117,386","3994469,366","4306566,933","5771803,948","10511313,636",9415054,16551669,14886644,19569093,20728196,0,93194994,130716184,
93194490,"2872252,919","5827277,955","6521219,435",0,6203000,5992573,8037028,7160971,12507084,12691115,14367632,22562419,38588780,
93195362,2318028,"2312905,337","2602864,698","3238019,855",0,7962842,9371859,10407164,9727244,12557001,"20983170,024",34277137,37746073,
93196026,44614852,53050739,45518738,50356432,53904041,76635115,71931787,68376463,64157759,57263032,0,26417878,0,
93199922,3903616,4965469,4390670,6441562,7003071,7760190,8624075,9204390,10154659,12504250,11992370,13860455,10706805,
93199946,8086013,7446753,7007399,7138797,7573653,7793599,8598792,8638997,8427270,8447308,9122043,8670516,11186129,
93200082,7884545,10013634,11928269,15197105,15442269,29826557,40947792,36541603,39643722,35493470,35314868,43192221,49248880,
93200178,5300700,5340094,6434720,6533851,6522990,7467018,9018361,9671683,9688732,8151532,7922451,7848614,7971756,
93202978,6530330,6728515,6594979,6985434,7197549,8547958,18319455,17902842,16887342,18124451,19266114,19811870,22959874,
93203010,3225381,3640943,3635140,3569393,5511908,6086091,9290758,9329933,9626995,9877217,9667427,9944025,11446024,
93203122,474381,674159,949741,873384,1204476,1500047,2651704,1890139,3085494,2787764,2282337,2250129,3364532,
93240394,"16901793,828","27325482,577","47861214,501",48225589,64555902,70698707,85839200,80197591,70207409,58901754,0,61599527,71292552,
93242755,0,0,"955233,105","2035017,19","4077184,585",8688374,10087274,9581579,9987709,10355261,10616984,12817663,"13889544,307",
93244251,"218021,552",731986,1455808,1974561,3072586,3055510,3204012,"3498909,714",2884415,3614195,3823351,4355738,3715495,
93244395,"3511931,831","3113399,847",0,"1878097,422","4410646,228",8432441,7747681,10647913,7378251,9997971,14192089,13872483,5383840,
93246019,150000,170000,300000,322784,"17665938,41342",19154887,25864613,20380516,19218619,25952153,34884061,43653012,64755503,
93246059,0,"10716101,75","10902843,703","11780553,109",13460921,13639316,13552971,13539739,16384688,16066098,15579812,15679692,16247728,
93531355,7027075,7648021,8594111,9583266,11312427,12969710,19647588,21676076,22029871,25164696,22410222,21293785,22780585,
93697793,1795131,2100201,2615934,3326581,5122487,4929381,6342630,6080476,4674522,5388481,"6017361,171",5143225,5344842,
94120588,35273709,31050079,27762383,23711776,20175536,20371853,16530120,15903856,15751451,15726202,0,19178975,0,
94127494,5091570,4912355,7147113,8148000,8413792,11719779,14605235,14927298,15914808,17984846,18924542,25963891,28135269,
94157042,1245408,0,"3133406,333",0,5917915,6478914,10747532,14330280,14571884,15925466,16173996,8881157,0,
94164701,3862604,0,4118548,4119845,4433275,5168307,0,6459173,7380348,7923986,9042634,10427840,12894075,
94167805,1050714183,1393966193,1385076334,1382218373,1554923589,1557671245,1613859903,1611825105,1601108417,1687239071,1708267374,1649287231,1661488572,
94167901,"4922184,704",0,0,0,13826362,12885213,11231795,10208953,10102785,"15281329,129",14610834,11132443,0,
94196907,0,7050939,7792324,12681194,24113954,56555007,49793234,49495260,100732190,194357866,262106073,379223013,476581460,
94212090,1413479,2419130,4081893,6549280,6860106,7737278,7710972,7372321,9597430,17668845,22194129,29488405,50841865,
98783036,2166361,2382314,4550774,5273459,20962077,0,5906752,4937631,5954065,6103526,6811393,7573901,10356109,
98783267,"2094256,996",6371500,10409805,12252406,13306065,26305271,14103584,20482441,20218957,23013156,26528581,24529304,21095989,
98787484,"1084946,819","1209366,862","1358527,102","1400013,148","2195931,677","3095039,538","3850719,323","4696919,102","4461641,368",5221954,7869642,10895393,10754484,
98797503,"2548491,838","2965754,799","4322725,212",0,0,5893983,5754253,6406315,7119896,7096984,7757903,7872174,9254439,
98798535,"19995276,625","13877621,904","24713290,38",28976915,30662565,27635527,15722073,9465884,8129712,4021220,3271813,258339,0,
98823422,22799923,29320351,33924446,38222138,34042328,46682730,49563636,"57470759,289",59024216,60465799,62503692,75792611,72808971,
98827855,0,0,0,8495036,6529798,8211885,8123376,8905248,9307103,9553354,8245531,8877911,9346559,
98832231,"3042934,377",0,"4308490,797","6304100,803",5167638,6166218,6851551,8793588,5650147,3380596,0,2567865,3807248,
98832287,13984590,22820225,31390106,32314804,90912824,67637938,30514407,41639724,34616058,40960464,34984265,42183040,59847997,
98835903,8784396,"8415708,582",9315408,7739383,8362314,14926288,15936910,15600148,16294473,14876133,15016430,13263026,13566617,
98836087,"1283254,538",0,"4838228,5","8596508,816",14294420,10102120,0,8319131,7521069,6558474,5214274,8578659,0,
98838391,"8350357,128",14141910,19254465,17992057,16642175,12129225,12295551,13815463,14490874,12180633,0,8481116,9773695,
98840047,0,0,0,0,11157253,16001432,13137307,12828468,23790767,23790767,0,0,0,
98844993,14523267,22048874,21199812,19980056,23103043,25871576,27396694,26411098,21560656,24168443,22953412,2913734,0,
98846785,0,"5348329,922",9618312,0,18799303,27425591,42534935,45220169,49255471,65675970,67929392,65484951,54130873,
98847361,9294847,10846961,18328127,13392171,15703901,13797464,10189895,11842352,11086714,14924312,8813025,9048575,23063483,
98849506,9337119,16431260,12721415,15865366,26934957,38465599,47457510,43195621,52457160,84284251,65206340,72005932,73901313,
98856154,0,"1838854,534","3204620,046",4014237,4142422,4242849,5324238,5509999,7642721,5503309,5524803,4373500,8370228,
98857851,0,0,37283975,43952885,44978706,53142312,69653702,70270798,86213526,71572867,68753962,70293780,66783688,
