ID,AC2010,AC2011,AC2012,AC2013,AC2014,AC2015,AC2016,AC2017,AC2018,AC2019,AC2020,AC2021,AC2022
33166459,1309992.0,1893891.0,2165043.537,2220796.0,3676513.0,3407670.0,4168949.991,4379872.0,3722519.0,3740388.0,3713852.0,3507853.0,3786719.0
33166487,11261325.0,11808853.0,13580736.0,13861090.0,20299652.0,28373429.0,40952705.0,46587378.0,55774407.0,53542128.0,51549442.0,56638303.0,74978396.0
33166648,3705397.08,6293904.169,8246194.8275,10198485.486,10152411.0,11826546.0,13478645.0,14683074.0,15739938.0,16776689.0,16231667.0,15561356.0,15693797.0
33167138,7119304.0,7793955.0,5926959.0,4452166.0,5608057.0,5810165.0,6456861.0,8795487.0,8718118.0,11429535.0,13490084.0,16632537.0,19970370.0
33167327,471343.0,480731.0,765029.0,949067.0,955134.0,1445734.0,2132020.5,2818307.0,2887786.0,3148596.0,3082145.0,3059434.0,3134108.0
33167537,6061974.0,7547720.0,7409597.0,7449736.0,8195880.0,19091738.0,15165758.0,26978455.0,27276917.0,26032603.0,25256710.0,27425142.0,27733716.0
33167579,9045685.0,9077095.0,8789682.0,9212732.0,9164459.0,9249714.0,9792232.0,10889145.0,10766703.0,11178869.0,11381448.0,11822431.0,12348052.0
33167796,6639575.0,7942882.0,7770439.0,9092022.0,7394821.0,6453891.0,7291578.0,5908058.0,5949975.0,5925688.0,5652109.0,6596120.0,6520658.0
33168328,1028457.0,1598442.0,1719203.0,1891075.0,2349392.0,3965003.0,4490513.0,5208825.0,6058208.0,9438943.0,7710090.0,8470828.0,8470828.0
33168748,3691058.0,3736207.0,3526627.0,7476125.0,6019980.0,7206754.0,10202361.0,11182946.0,12227918.0,13130295.0,9107877.0,10394695.0,9634274.0
33170687,1934061.0,2524328.0,2931142.0,3013777.0,3682875.0,3970929.0,4672063.0,4129055.0,4352367.0,5046992.0,5944369.0,7544005.0,7544005.0
33171009,2028981.0,2436139.0,2871229.0,3635962.0,3778087.0,4856144.0,4864839.0,5080697.0,5091372.0,5030576.0,4994509.0,5718034.0,7582971.0
33171121,1970666.0,1867060.0,2505348.0,3274377.0,4772655.0,6219824.0,981324.0,7570321.0,6902884.0,6313490.0,5813126.0,6326640.0,6601752.0
33171163,4804826.0,5732722.0,7094131.0,10061690.0,9577694.0,10354228.0,12017994.0,14457240.0,15583270.0,14758898.0,15440292.0,18154765.0,18378232.0
33171870,5344832.0,6482796.0,6757266.0,6672963.0,6240556.0,19666353.0,6868887.0,11222828.0,11961245.0,10928946.0,11224501.0,10783185.0,13452576.0
