ID,RAGXFI2010,RAGXFI2011,RAGXFI2012,RAGXFI2013,RAGXFI2014,RAGXFI2015,RAGXFI2016,RAGXFI2017,RAGXFI2018,RAGXFI2019,RAGXFI2020,RAGXFI2021,RAGXFI2022,Diccionario!A1
238737,0,0,0,0,0,0,3194771,3896565,3934105,3393407,3091506,4010540,5401267,
238744,0,0,0,0,0,0,0,0,0,0,0,0,0,
238891,0,"192606,512",0,"385605,357","343776,617",0,0,875986,1067861,2410005,6325708,3929930,7904744,
238919,,0,0,0,0,0,15476,0,12005,0,0,5755,50282,
238982,0,0,0,0,0,0,81610,0,0,0,0,0,0,
238989,0,0,0,0,0,0,118067,67322,43094,52252,17410,77793,62908,
238996,0,0,0,0,0,0,3300,690,21246,89017,218438,181355,261773,
239045,0,0,0,0,0,0,710195,466951,369145,788011,926214,759460,824894,
239073,0,0,0,0,0,0,"1108082,93068","839459,30858",793357,718515,915234,642697,928066,
239115,0,0,0,0,0,0,0,155298,13172,35725,31722,0,4411,
239185,0,0,0,0,0,0,3115,2689,252,0,0,1805,5284,
239241,0,0,0,0,0,0,0,0,0,0,1143994,19762059,,
239276,0,0,0,0,0,0,126821,150661,128690,40066,100237,69990,88029,
239290,0,0,0,0,0,13025261,3825515,1950870,6206159,9563859,13237035,12524533,25116413,
239332,0,0,0,0,0,0,2040804,1077097,0,1560536,,2824666,3981972,
239346,0,0,0,0,0,0,10005,19133,10303,33518,0,0,0,
239360,0,0,0,0,0,40374,131097,36942,308435,0,135551,161679,361944,
239465,,0,,0,0,0,400889,222623,172259,55791,0,0,0,
239500,,,0,0,0,0,2295395,1711165,1817044,1001501,884438,828297,1142294,
239542,0,0,0,0,0,0,0,0,0,0,0,0,0,
239577,0,0,0,0,0,0,1411390,1679680,0,2591810,2099474,2256457,3008207,
239647,0,0,0,0,0,0,0,67325,40777,27756,26057,20825,28184,
239696,0,0,0,0,0,8812669,12104517,2189310,3326018,6707233,0,3975875,9677463,
239759,0,0,0,0,0,3200,303,253,1656,2585,1001,1679,24765,
239899,0,0,0,0,0,0,556922,354912,753045,711974,1609942,343735,1335629,
239906,0,0,0,0,0,0,39065,42273,49359,47961,45399,8595,7458,
239976,0,0,0,0,0,0,0,0,0,0,0,0,0,
240025,0,"8156871,698",0,0,0,0,0,2008094,4308358,4723972,4540567,3719490,7941634,
240074,0,0,0,0,0,474506,164636,14021,62642,271378,650769,583792,0,
240081,0,0,0,0,0,734075,981078,1068416,1410822,992584,695791,403141,901819,
240165,0,0,0,0,0,0,1211406,1075817,838258,1439969,1512142,0,0,
240179,0,0,0,0,0,0,71835,35902,6636,4754,18529,1890,12482,
240186,0,0,0,0,0,0,0,0,98127,40848,2358,204402,132617,
240235,0,0,0,0,0,0,58262,41052,10595,6283,,1742,1446,
240242,0,0,0,0,0,0,7454,24792,1874,11441,17713,12655,2271,
240256,0,0,0,0,0,0,0,0,0,0,0,0,173182,
240277,0,0,0,0,0,0,1028720,654611,0,0,0,0,0,
240291,0,0,0,0,0,63129,76108,73813,94911,154745,135574,155742,138728,
240312,0,0,0,0,0,"21995,611",0,0,28084,7405,4555,67191,1130,
240347,,0,0,,0,0,,0,0,0,0,0,0,
240501,0,0,0,0,0,0,3531,3414,5252,681,735,836,717,
240529,0,0,0,0,0,0,86702,76687,28799,22374,57999,92224,30024,
240557,0,0,0,0,0,0,68249301,40835529,27402696,25487315,27580830,16441107,63912531,
240578,0,,0,0,0,2088824,3060708,2950278,1587585,5128515,4827973,3192993,3191474,
240725,0,0,0,0,0,0,10688579,9147480,10150715,9901286,8030062,6379034,1377169,
240732,0,0,0,0,0,0,1989640,552796,726857,754344,996448,1505210,3410154,
240760,0,0,0,0,0,0,0,0,57934,282670,0,0,369572,
240921,0,0,0,0,0,0,0,0,0,0,0,0,0,
241005,0,0,0,0,0,0,,1085107,0,2784204,1350700,914340,819132,
241145,0,0,0,0,0,0,30238,230017,4923,0,3073,6148,49540,
241159,0,0,0,0,0,0,57866,52848,31365,30134,48923,44968,36760,
241166,0,0,0,0,0,0,165409,150152,150983,290782,146647,100594,191356,
241383,0,0,0,0,0,0,1543113,1288672,1425187,"1487002,789",2128548,2755780,0,
241432,0,0,0,0,0,0,33882,31613,0,159932,49405,48986,44178,
241439,0,0,0,0,0,0,1122395,671739,644287,634315,1035294,848338,1827060,
241572,,,,,,,5147,0,0,0,0,0,0,
241677,0,0,0,0,0,22320449,22488781,11107867,9006904,20278050,29003517,14283866,23971890,
241691,0,0,0,0,0,0,0,238563,0,0,0,0,36778,
241719,0,0,0,0,0,0,0,0,0,0,0,0,,
241838,0,0,0,0,0,0,204515,277492,161021,155035,0,30145,31224,
241866,0,0,0,0,0,0,470851,403753,8601604,0,0,0,0,
241901,0,0,0,0,0,0,15390,20478,32433,43067,4439,3969,14252,
241971,0,0,0,0,0,2614162,3680730,386039,670182,1923362,0,1409515,492690,
242069,0,0,0,0,0,5598,4278,5182,7447,11014,100528,705470,628250,
242160,0,0,0,0,0,0,0,0,0,0,0,304775,293656,
242181,0,0,0,0,0,,0,0,1458214,1612024,1231258,1742820,1996839,
242300,0,0,0,0,0,0,0,0,0,0,0,0,0,
242468,0,0,0,0,0,0,24317,18342,0,0,73848,23208,0,
242503,0,0,0,0,0,0,0,0,0,0,0,0,0,
242531,0,0,0,0,0,0,31826,17379,26985,42534,34470,18667,26921,
242650,0,0,0,"1301665,24","1383289,988",1733193,2079929,1230661,1105249,1003513,759463,"712422,494","1319738,702",
242734,0,0,0,0,0,14381394,11632182,11005758,2528842,9527734,0,13493592,15540186,
242748,0,0,0,0,0,0,0,0,0,0,0,0,0,
242755,0,0,0,0,0,0,2250058,2010460,2241944,2087114,1984462,1499523,2017155,
242860,0,0,0,0,0,0,727,737,1169,846,202102,422,527,
242916,0,0,0,0,0,0,2716324,2163772,2211339,2167468,2085146,849777,2720380,
242958,0,0,0,0,0,6704681,4124792,3441702,3940859,3523014,2956751,2497901,4140428,
243014,0,0,0,0,2501259,0,0,0,0,0,0,0,465504,
243028,0,0,0,0,0,1162507,1502728,210345,327207,869900,0,344415,116500,
243070,0,0,0,0,0,0,2186580,1739901,2008920,1403000,820142,435833,960092,
243119,0,0,0,0,0,9983,42216,46085,22657,26329,13263,13162,1570,
243203,0,0,0,0,0,0,3367330,1359822,1022442,202532,1443445,25247,250196,
243210,0,0,0,0,0,,0,0,0,28006,11155,22577,31258,
243217,0,0,0,0,0,2108142,1689451,1315031,1581022,1324658,2805308,2645918,3444664,
243245,0,0,0,0,0,945833,2953842,415375,2635642,2401878,2602434,1652966,3756878,
243364,0,0,0,0,0,0,9580440,5859895,8203071,9327013,12365210,3507501,13076473,
243371,0,0,0,0,0,0,9260,18062,19845,8296,15001,3217,16662,
243406,0,0,0,0,0,0,381806,139632,176370,219104,492005,1151450,1518203,
243644,0,0,0,0,0,9669922,3775760,2092268,14431095,20455080,13912898,18491178,52624083,
243651,0,0,0,0,0,0,52383,35114,15283,345805,1329,8188,151762,
243658,0,0,0,0,0,0,722092,171587,547638,0,387605,"75246,122",757035,
243833,0,0,0,0,0,6504224,10719799,7227219,3869491,4696695,13133465,2615412,6773665,
243924,0,0,0,0,0,0,9770970,11368787,9943098,11547842,0,6699285,14331700,
243994,0,0,0,0,0,0,0,0,0,0,13317,17768,25872,
244022,0,0,0,0,0,0,0,0,0,0,0,0,0,
244050,0,0,0,0,0,0,143417,610661,524745,450452,404798,374065,4,
244162,0,0,0,0,0,961108,1390543,1047388,1256611,2711083,1576061,763736,1233531,
244218,0,0,0,0,0,0,1502703,0,1490652,1136552,0,0,1218924,
244253,0,,0,0,0,0,0,0,0,668,827,58856,0,
244463,0,0,0,0,0,3099949,3321000,50324,1627156,3683827,2711213,1265124,1057608,
244498,0,0,0,0,0,1199,24405,2541,714,9079,0,0,4728,
244533,0,0,0,0,0,381990,327162,265497,259060,306299,311719,237447,375667,
244540,0,0,0,0,0,10326151,7242110,5021479,7823078,7476094,8988912,4844580,8478492,
244778,0,0,0,0,0,375206,297147,448740,2919241,2493248,1091249,1703838,3486481,
244813,0,0,0,0,0,0,44298,57255,97972,123709,349509,584987,113905,
244855,0,0,0,0,0,0,52751,36388,607835,753994,9091,3701,3179,
244862,0,0,0,0,0,1676,730,690460,478,264,244,742,324,
244890,0,0,0,0,0,0,65317,1047,3060,8340,1349,104282,847072,
245037,0,0,0,0,0,0,900489,800853,917906,706935,924730,560473,846850,
245086,0,0,0,0,0,0,411729,290181,289683,321784,317337,"313458,876",413121,
245289,0,0,0,0,0,0,10967,448313,351439,298665,237611,174489,359734,
245373,0,0,0,0,0,0,0,0,0,491220,279205,574781,566708,
245562,0,0,0,0,0,0,942713,1228817,665343,1032302,755593,1276264,1163429,
245583,0,0,0,0,0,0,0,0,0,4453658,3113327,2573501,3868949,
245618,0,0,0,0,0,0,0,0,0,85267,95479,60512,148612,
245660,0,0,0,0,0,0,106629,0,0,0,0,0,202011,
245674,0,0,0,0,0,0,692182,503270,352483,416690,509539,378976,738257,
245751,0,0,0,0,0,0,0,"97833,515","121039,633","109782,35","142526,131","124785,559","286034,677",
245807,0,0,0,0,0,0,21915990,34013547,25950560,26691636,11022958,23981574,169604366,
245912,0,0,0,0,0,0,0,0,0,0,0,0,0,
245947,0,0,0,0,0,0,0,0,0,"859243,924",0,17420,0,
245954,0,0,0,0,0,0,261972,249899,97868,91162,67437,42052,25174,
245989,0,0,0,0,0,0,16337,5681,7072,12112,18803,44747,38023,
246150,0,0,0,0,0,0,3218068,0,0,0,0,416272,0,
246192,0,0,0,0,0,0,0,1008555,0,831574,0,0,0,
246255,0,0,0,0,0,0,0,0,0,0,0,0,0,
246304,0,0,0,0,0,714198,1140711,156926,220008,265748,430184,246838,301020,
246339,0,0,0,0,0,5781925,7546746,3828478,6217353,7310889,7724449,5806275,11724008,
246535,0,0,0,0,0,2427032,2949822,1353669,7376034,6275556,,1958965,9100902,
246591,0,7238940,0,8604690,0,2643890,1709447,5181582,2281278,6925224,5302570,3551632,8655128,
246647,0,0,0,0,0,0,68104,26376,95032,106536,37765,"25276,186",,
246675,0,0,0,0,0,0,551638,610407,715536,794661,,780404,844520,
246913,0,0,0,0,0,0,,0,0,0,16987,11844,14475,
246920,0,0,0,0,0,4913151,5393162,1497967,1165657,7802016,,5577145,2280137,
247004,0,0,0,0,0,2741050,2484656,2692973,1429781,2276908,3332972,1682456,2655708,
247088,0,0,0,0,0,0,0,12808,50290,25516,60148,150053,153500,
247172,0,0,0,0,0,0,50698,0,9220,13181,0,0,23594,
247235,0,0,0,0,0,2316356,2994264,1359891,4003603,4757256,5042472,461338,240732,
247242,0,0,0,12325101,0,8721023,58991438,29402053,27662636,54390158,38388440,26579288,46090553,
247298,0,0,0,0,0,0,0,53732,0,0,0,0,,
247564,0,0,0,0,0,48655508,16484697,3998747,1291558,1353637,1280732,1370166,2822861,
247662,0,0,0,0,0,0,1821376,2329038,1941807,2159963,1789097,"1517535,146",1511638,
247690,0,0,0,0,0,0,287108,305500,356416,466833,340150,232946,448048,
247697,0,0,0,0,0,1741934,829165,555307,786131,558390,2207989,1135013,1574242,
247732,0,0,"564462,479",0,,0,0,0,0,0,0,0,0,
247746,0,0,0,0,0,0,0,0,0,0,0,0,0,
247837,0,0,0,0,0,0,9817,9932,7160,9788,,0,36582,
247914,0,0,0,0,0,0,54632,71085,56082,21803,6353,5996,5259,
247963,0,0,0,0,0,0,0,0,0,0,0,0,,
248005,0,0,0,0,0,0,0,0,327329,473938,653149,1420405,1197121,
248019,0,0,0,0,0,0,314198,75833,0,557294,392206,246293,210842,
248054,0,0,0,0,0,0,0,0,0,0,0,0,3313020,
248082,0,0,0,0,0,0,801954,614457,569388,734759,1273828,410166,779299,
248173,0,0,0,0,0,0,0,0,0,0,0,758860,543994,
248187,0,0,0,0,0,0,70753,75670,73526,86070,93003,105240,150052,
248432,0,,0,0,0,0,50153,22079,0,0,0,0,0,
248509,0,0,0,0,0,7521611,10247542,9981334,11771059,13300481,10432548,10264116,18466313,
248607,0,0,0,0,0,0,195328,399201,0,0,0,273829,427115,
248761,0,0,0,0,0,0,0,0,393246,392011,0,154200,200375,
248824,0,0,0,0,0,0,267238,411297,303223,303914,242850,170165,241534,
249125,0,0,0,0,0,0,0,0,0,0,0,0,0,
249279,0,0,0,0,0,0,0,0,0,0,0,0,0,
249307,0,0,0,0,0,0,8043,4950,0,0,5658,15569,32273,
249328,0,0,0,0,0,0,0,70807,63571,34969,7087,5022,4451,
249342,0,0,0,0,0,0,0,0,0,0,0,600907,738879,
249377,0,0,0,0,0,0,0,0,439037,517581,,,,
249405,0,0,0,0,0,0,0,0,0,0,0,1202837,0,
249440,0,0,0,0,0,0,533221,239441,186854,106145,0,0,0,
249706,0,0,0,0,0,0,0,0,0,0,0,0,0,
249755,0,0,0,0,0,83455,15325,8932,5331,12217,880,,,
249951,0,0,0,0,0,0,0,67188,82956,22718,29705,33025,27484,
249958,0,0,0,0,0,0,279503,255613,444749,490662,310443,270291,612539,
249965,0,0,0,0,0,0,407654,282520,195996,287445,257103,301334,522069,
249972,0,0,0,0,0,17556023,241168,3892265,2715975,7472418,5286236,2815068,12724959,
249979,0,0,0,0,0,1304998,148186,242102,535921,512187,307787,439897,1551440,
250119,0,0,0,0,0,38166122,24174004,11943711,17318355,16392593,19177069,10887054,23162580,
250140,0,0,0,0,0,0,91304,64227,26679,23833,84926,55767,100025,
250161,0,0,0,0,0,0,0,0,0,0,0,0,0,
250210,0,0,0,0,0,0,0,0,0,0,0,353,2428,
250266,0,0,0,0,0,66797,197451,25310,70268,43510,49254,20751,1772342,
250357,0,0,0,0,0,0,214926,297787,40914,116119,152015,30053,356295,
250511,0,0,0,0,0,0,809367,674407,252373,186729,236341,86600,122513,
250672,0,0,0,0,0,0,1322256,0,0,0,0,0,13488769,
250693,0,0,0,0,0,0,63450,78080,72127,77823,27630,24640,28762,
250749,,,,,0,0,0,0,0,0,0,0,0,
250784,0,0,0,0,0,0,828255,0,1782878,874433,1000096,1309275,1769976,
250868,0,0,0,0,0,0,0,728654,327152,347426,0,449806,1535946,
251106,0,0,0,0,0,0,1505,2999,0,0,0,0,0,
251176,0,0,0,0,0,0,239948,150610,830926,475203,490015,273191,298129,
251183,0,0,0,0,0,0,0,95021,91445,219053,0,32212,29477,
251386,0,0,0,0,0,5152752,4849999,1830385,1570476,2652431,2051416,3192611,22631092,
251463,0,0,0,0,0,0,22571,15352,0,978,1930,2149,3168,
251512,0,0,0,0,0,0,2460962,1001133,746443,1056353,1011897,1580452,2016053,
251680,0,0,0,0,0,0,46859,0,521074,130736,36420,1136625,32532,
251694,,0,0,0,0,0,"19930,207",738755,505256,561454,1312342,"749800,686","1488451,9",
251757,0,0,0,0,0,0,21001,0,0,0,0,18688,31353,
251855,0,0,0,0,0,0,280242,649843,458935,607932,820821,618866,869158,
251883,0,0,0,0,0,0,0,8612,0,0,0,96115,0,
251890,0,0,0,0,0,0,0,137230,186106,164138,195110,245428,270339,
251904,0,0,0,0,0,0,950784,726714,854533,1018784,987830,763441,1190583,
251925,0,0,0,0,0,0,282274,0,975375,89649,77344,217933,130249,
251995,0,0,0,0,0,0,0,0,0,0,357800,0,0,
252149,0,0,0,0,0,0,0,136032,125304,134885,107418,221787,181296,
252191,0,0,0,0,0,0,432743,330477,994270,264460,1114048,595734,0,
252219,0,"135542,447",0,0,0,0,307561,445300,527470,469623,357231,543978,590544,
252247,0,0,0,0,0,0,0,0,43716,28173,35853,0,16426,
252261,0,0,0,0,0,0,0,0,0,0,0,0,0,
252422,0,0,0,0,0,0,1736357,2392139,1392017,1793313,796659,797482,2261474,
252443,0,0,0,0,0,0,1266971,1250569,905835,376751,180268,31873,34265,
252562,0,0,0,0,0,9500661,7471815,11877867,0,6191861,3104406,4396994,4707725,
252569,186567,312925,0,0,0,710550,561401,451258,0,383715,477895,0,,
252716,0,0,0,0,0,0,87874,101588,170610,296717,70378,15537,144884,
253017,0,0,0,0,0,0,0,0,4991,11800,7707,5244,0,
253122,0,0,0,0,0,0,0,158264,83080,68045,0,0,0,
253220,0,0,0,0,0,0,471079,119102,0,0,0,160065,0,
253227,0,0,0,0,0,0,383882,297480,249882,295024,141428,217952,330561,
253360,,0,0,0,0,0,0,426390,0,0,0,0,0,
253409,0,0,0,0,0,0,2234430,2295172,2072838,2542778,2197448,1182284,4146644,
253696,0,0,0,0,0,11539744,4465882,4507353,5403911,5023788,2690924,1622372,9882618,
253738,,,,0,0,0,52410,25177,127508,38206,23163,16924,26331,
253780,0,0,0,0,0,0,1890,3488,0,0,,,,
253843,0,0,0,0,0,4098204,2922658,5801252,1365838,1627111,2276200,1584140,1810087,
253864,0,0,0,0,"2344162,314","2312817,404",1739839,926746,840994,"2104851,865","2523360,786",2008998,4085719,
254095,0,0,0,0,0,0,2802,958,560,17617,9108,0,0,
254312,0,0,0,0,0,0,636236,867711,693364,739914,851923,508692,138251,
254417,0,0,0,0,0,0,107930,0,36626,27444,23692,9648,16326,
254445,0,0,0,0,0,0,3903992,4854244,4595879,3752828,0,3823295,5849815,
254501,,0,0,0,0,0,0,0,0,0,3942,3727,4043,
254655,0,0,0,0,0,0,5977173,4571319,5312064,7860918,6988689,6925273,12173263,
254795,0,0,0,0,0,0,0,71809,92428,52828,84943,13091,63483,
254830,0,0,0,0,0,0,4326039,3593683,10179363,3366920,"4114395,266",4469717,7363814,
254921,0,0,0,0,0,0,0,8790,115625,39968,53021,70331,177339,
255404,0,0,0,0,0,0,5004,8718,7205,4190,6054,1593,2320,
255446,0,0,0,0,0,0,283772,38958,41623,"80275,955","33873,048",81144,328879,
255621,0,0,0,0,0,0,326353,585732,2172833,3110636,4433530,4395805,3355350,
255691,0,0,0,0,0,0,158569,192392,204081,249877,492781,973116,989638,
255740,0,0,0,0,0,0,98069,107486,95251,89050,111192,84033,45258,
255880,0,0,0,0,0,0,0,0,0,0,0,0,0,
255950,0,0,0,0,0,0,0,0,0,0,0,0,0,
255957,,,,,,,1719,413,11272,121,,,,
256041,0,0,0,0,0,0,0,"599570,243",950099,704665,209346,282180,293719,
256090,0,0,0,374572,0,0,185790,184268,95209,115986,"241337,771","369650,014","601448,151",
256104,0,0,0,0,0,0,60704,33851,96652,0,0,0,0,
256167,0,0,0,0,0,0,220558,268897,231849,283489,185530,346888,,
256314,0,0,0,0,0,0,0,0,0,0,0,0,0,
256419,0,0,0,0,0,0,7066102,8046957,8616078,7360501,7364329,8042409,13440286,
256482,0,0,0,0,0,0,3371,3254,3880,4830,8130,14711,24137,
256664,0,0,0,0,0,0,38272,0,0,0,90073,0,197996,
256671,0,0,0,"12179,076","8046,5122","9917,306","6942,647","21047,107","9992,081",31773,29195,46816,81742,
256699,0,0,0,0,0,0,759242,728939,774925,778281,726556,875031,0,
256706,0,0,"1263343,915",0,0,0,0,0,0,1227106,1202283,801308,1187874,
256839,0,0,0,0,0,0,44784,38411,59759,68032,171319,83498,106939,
256881,0,0,0,0,0,0,0,0,0,0,0,0,0,
256902,0,0,0,0,0,0,4361350,1028037,1240631,3775132,0,7049465,151499,
256937,0,0,0,0,0,0,96167,94360,59038,60325,27663,17712,15410,
256986,0,0,0,0,0,0,65883945,21705673,26348071,41006769,50684442,19856510,32130321,
257000,0,,0,0,0,0,0,0,36690,0,0,0,40617,
257105,0,0,0,0,0,0,60702,163734,275597,492469,480973,508765,,
257126,0,0,0,0,0,0,25096,16220,26842,12325,22276,65736,0,
257189,0,0,0,0,0,0,543,135,10615,9870,0,3814,1045,
257196,0,0,0,0,0,0,0,0,0,37479,33128,0,0,
257546,0,0,0,0,0,0,139177,147312,145932,114313,103998,90452,76142,
257749,0,0,0,0,0,89264950,9268346,82096994,34687256,35610794,16045838,47985595,116013497,
257770,0,,0,0,0,0,11920,27330,43762,0,0,0,0,
258092,,,,,0,0,0,0,0,0,0,0,0,
258155,,0,0,0,0,0,0,0,0,0,0,0,0,
258400,0,0,0,0,0,0,0,2484,0,0,0,0,0,
258470,0,0,0,0,0,0,86916,3172,2826,2961,0,0,2440,
258512,0,0,0,0,0,0,57838,49657,23176,54026,565644,177313,377385,
258540,0,0,0,0,0,,0,309423,706027,1999054,692051,0,120576,
258680,0,0,0,0,0,2124531,1645420,2983278,2108202,808836,1159773,2250628,3011817,
258722,0,0,0,0,0,0,0,0,67312,0,31798,42185,132993,
258729,,,,,,0,123730,116007,109647,1296,1683,2573,11877,
258736,0,0,0,0,0,0,97970,58387,0,0,229681,236656,255438,
259016,0,0,0,0,0,0,413963,319113,394025,604617,463196,284936,671057,
259156,0,0,0,0,0,"4046791,343",0,1570132,1227948,1662831,"3081954,668",1740597,3178514,
259177,0,0,0,0,0,0,0,1239841,1824424,2314551,0,2000882,3823456,
259212,0,0,0,0,0,0,0,0,821039,478688,0,0,0,
259387,0,0,0,0,0,0,0,0,0,0,0,0,0,
259394,0,0,0,0,0,0,637363,524670,478718,689653,461241,828078,,
259604,0,0,0,0,0,171289293,87059150,13479111,3663123,21629269,67998684,17417535,49426004,
259632,0,0,0,0,0,0,56343,80952,186126,130347,92164,78602,0,
259667,0,0,0,"4685598,804","5290212,726",0,4636098,5372678,4553576,"3347475,26","2877263,336","1412405,698",4298874,
259695,0,0,0,0,0,0,3697477,2001493,3636609,3966156,"1677464,463",1940031,8714812,
259716,0,0,0,0,0,0,0,1221580,904109,655122,491994,340065,512287,
