ID,Delta2011,Delta2012,Delta2013,Delta2014,Delta2015,Delta2016,Delta2017,Delta2018,Delta2019,Delta2020,Delta2021,Delta2022,Delta2012-2016,Delta2017-2021,Delta2018-2022,AltoCrecimiento2012-2016,AltoCrecimiento2017-2021,AltoCrecimiento2018-2022
378370338,NA,NA,NA,-1,NA,"0,290671437294172","1,32701368619305","-0,286252947433082","0,071050401071161","-0,682496616623275","0,822788896790726","-0,11440504250183",NA,"0,557575704438562","0,45105380986893",NA,0,0
378370530,NA,NA,NA,"8,41E-02","0,750608310442254","0,321385827860401","-1,76E-02","0,789423650814289","2,15017114781138","0,304283314270201","0,154755265020303","0,136936318887802",NA,"-7,49002974995608","-4,39426377133805",NA,0,0
378370634,NA,NA,NA,"-0,75857268968967",-1,NA,"-0,389515823577477","-0,142631882354271","0,0138562039801979","-0,0142999811447111",-1,NA,NA,1,"-0,00183255219148193",NA,1,0
378373010,NA,NA,NA,NA,-1,NA,"-0,117537763592336","-0,0259705389427525","-0,508343009754647","-0,998766454880968","0,31358481832909",-1,NA,"0,999224025462246",1,NA,1,1
378373018,NA,NA,NA,"0,149409172954047","0,644926944570419","0,555954424864173","0,146032953733232","0,00987879863780832","0,120388393398008","-0,183781323680849","0,51975352696835","0,266054625893016",NA,"-0,403516567940104","-0,759546438399239",NA,0,0
378375842,NA,NA,NA,"-0,893605845420022","-0,320728291316527","1,80412371134021","8,40198529411765","0,340103779708603","0,768062277709353","-0,348845284493594","-0,970770435628909","-0,201531297961449",NA,"0,954903532576818","0,973130351279405",NA,1,1
378376986,NA,NA,NA,"-1,34E-02","0,353801075186754","0,213299125351713","0,118030580478676","0,359922740789024","0,401202808997311","-0,0932043961211087","0,311232529305721","0,307812077995033",NA,"-1,26571018119921","-1,17889079381777",NA,0,0
381269336,NA,NA,NA,"0,626861152118391","3,50E-02","0,18929782756986","2,93E-02","0,0245717375080552","-0,0667226482500082","-0,132511493081482","4,15E-02","0,616707781155475",NA,"0,136045140111533","-0,363264760694994",NA,0,0
381272797,NA,NA,NA,NA,NA,NA,"-0,384965942438715","0,451985421507333","-0,84297014321193","-0,884049202028936","11,6378895524226","-0,898909786589103",NA,"0,66588745086471","0,976738396684257",NA,1,1
381274704,NA,NA,NA,"1,79798830286431","0,375109952164276","-5,06E-02","0,172570954693926","0,184298760025807","0,0828627002678769","-0,21676568934528","0,274756903481306","-0,129947865295195",NA,"-0,28042382263072","0,0593290157776841",NA,0,0
381275342,NA,NA,NA,NA,"2,28E-02","-1,84E-02","6,08E-03","0,906164654839334","0,470694858671716","-0,14058707073993","0,385728497974397","0,338369301059558",NA,"-2,33858946078269","-1,34411315507745",NA,0,0
381800313,"10,3709054896484","1,57778633028966","0,222416547025306","0,745510630485527","0,151470338731433","0,503918100618619","0,247565834713979","0,455617256494771","0,52242240373448","-0,465657152911276","0,704129108572222","0,268900943977383","8,52501297803449","-1,01792423791312","-0,759079152804755",1,0,0
382548681,NA,NA,NA,NA,NA,"-7,28E-02","3,08E-02","-0,752803754924285","0,250857238586786","-0,588779449682107","6,14373125416494","-0,42747092214909",NA,"0,0916577111961346","-1,10380369176956",NA,0,0
382552629,NA,NA,NA,"-0,226219106657963","0,211991082901127","0,164668607304553","0,572072406468572","0,101552422879309","-0,0975799870839195","0,247875699062406","0,194938054922798","-5,70E-02",NA,"-0,482281225063542","-0,268993897402266",NA,0,0
382599485,NA,NA,NA,"0,559466092085462","0,856873587375321","-0,122503022267828","-0,276096241554197","0,0243253376433749","-0,0773378419305098","-0,183044618362232","-2,19E-02","4,01E-02",NA,"0,244766087692268","0,233171077258094",NA,0,0
382635416,NA,NA,NA,"0,324349762793584","-0,194692308831991",-1,NA,"-0,0914361478861199","0,266890299177403","-0,877143611884943","-0,452495123632676","-0,953635202665584",NA,"0,922575180849343","0,996048944672164",NA,1,1
382655858,NA,NA,NA,"0,130986550242941","6,71E-02","0,181081333403353","0,10661072875564","0,0568871110674592","0,0757592077956584","-0,201405808807332","0,336326915937939","4,12E-02",NA,"-0,213340059688966","-0,195299085186973",NA,0,0
382656815,NA,NA,NA,NA,NA,"6,13090552109499","2,73307973438364","1,93295537483559","0,383520854508256","-0,606614551185706","6,26E-02","0,183680805278567",NA,"-0,696163720605992","0,315463011842199",NA,0,0
382656905,NA,NA,NA,"9,33E-02","0,142125817987572","0,340263740871864","0,332335092434722","-0,118749777761974","0,160595570233267","-0,551355082278836","0,96108661236089","0,344603990412893",NA,"0,100130203112316","-0,373013576863992",NA,0,0
382657031,NA,NA,NA,NA,"-0,175835100886631","-3,69E-02","-0,102518835952776","0,196478508314137","-0,125900126156073","-0,391630070353437","0,529024490411073",-1,NA,"0,0271449427316457",1,NA,0,1
382717714,NA,NA,NA,"0,144133235630296","-0,13699247423225","0,183739914582337","0,200524657576457","0,27692464019919","-0,00308895123590059","0,993997540682046","4,41E-02","-0,173481146718697",NA,"-1,65018327688218","-0,7153921022718",NA,0,0
382728272,NA,NA,NA,"0,69892158484197","1,42E-02","4,21269369351631","-0,799482053654898","0,141624655927929","-0,0890520584110222",-1,NA,NA,NA,1,1,NA,1,1
382728963,NA,NA,NA,0,-1,NA,"3,87455917123325","-0,0252905472587243","0,0781582668987974","-0,285388520606506","-7,46E-02","0,609688900063008",NA,"0,305019106475989","-0,147729743376581",NA,0,0
382732353,NA,NA,"1,77756907235011","0,556839215327041","0,900240205732403",-1,NA,"0,341277067501892","0,110355415501643","-0,596156893761731","0,364665030988481","8,42E-02",NA,"0,17923420121841","0,336538896171405",NA,0,0
382733848,NA,NA,NA,-1,NA,NA,NA,"0,729038292253521","-0,333008064544641","-0,337215219396355",-1,NA,NA,1,1,NA,1,1
382737816,NA,NA,NA,"2,2800249508181","16,6271010400971","47,3154324875868","-0,998024157016917","1,92122123601464","1,14762923658829","-0,911480316488146",-1,NA,NA,1,"-221,729773378051",NA,1,0
382738924,NA,NA,NA,"-0,158341881514676","-0,253848646735684","-0,116272439253806","0,228047217741328","0,207757164463476","1,32121649505494","0,325692010460511","-0,768377993247006","0,976195501503112",NA,"0,139169334721377","-0,40853620109574",NA,0,0
382742252,NA,NA,NA,NA,"0,393678420478275","-0,163105912852488","0,5343714702513","0,494386475274003","-0,143236721290805","0,919179104013451","2,64267681844124","1,04586634842885",NA,"-7,95076017512694","-11,2538977286928",NA,0,0
382744351,NA,NA,NA,"1,35715622459901","0,523737926606615","0,351409793876435","0,210854459536735","-0,0691937845058389","-0,355815559337139","-0,0737123986505738","0,416674633691122","-0,672815423608106",NA,"0,213161731301332","0,723421114569556",NA,0,1
382745515,NA,NA,NA,0,0,"9,37302731435321","-0,903596127755656","0,24182823901488","0,0328369352875597","0,126577640458896","0,824899901989654","-0,458700814519742",NA,"-1,63689882702603","-0,149395014881713",NA,0,0
382746442,NA,NA,NA,-1,NA,"1,2742079014156","-0,113841504939117","0,00767501808712533","-0,329551212936907","0,305271083184056","0,186842129279634","4,2229386913577",NA,"-0,0465976905964194","-4,42468104734639",NA,0,0
382747163,NA,NA,NA,"0,29398622318676","0,732626724720598","0,122239355618101","0,184623118325679","0,214793379156222","0,349295714966696","0,230599674690549","0,656725902002778","0,729435873038491",NA,"-2,34177353726206","-3,75750290878768",NA,0,0
382747244,NA,NA,NA,"0,970661506487138","0,20441826282468","0,422615508410009","0,152349894225359","0,405963224507898","0,049836684139861","-0,258828318647227","0,505125140458371","0,448079211946705",NA,"-0,646596290172427","-0,695920502545025",NA,0,0
382747730,NA,NA,NA,"0,438303554240452","0,514890791494612","-0,127863776696001","0,15132705245716","-0,0715641441284906","0,161228258410349","-0,473636290953253","4,09E-03","0,312332987406754",NA,"0,43019240439439","0,194583772848537",NA,0,0
382751722,NA,NA,NA,"-0,394181492826684","0,428562028288585","0,972699310025144","-0,248082555199505","-0,0179128681734947","-0,225471586369166","-0,839212595475992","-0,66435513881423","-0,998246920102783",NA,"0,958949410109106","0,999926722424544",NA,1,1
382752163,NA,NA,NA,NA,NA,"0,597297668675289","0,207758294433031","0,429693750320588","-0,987311049410646",-1,NA,NA,NA,1,1,NA,1,1
382756380,NA,NA,NA,"4,72479932895365","2,90329326294432","0,513496079834135","0,46399435564134","0,278044306832437","0,56679652950467","0,0962229338337669","0,676119139202464","0,378521020758224",NA,"-2,67927525652507","-2,96853086795245",NA,0,0
