ID,PT2011,PT2012,PT2013,PT2014,PT2015,PT2016,PT2017,PT2018,PT2019,PT2020,PT2021,PT2022,Diccionario!A1
89023335,1369943,856874,239309,139161,198017,504654,378016,310613,-25353,0,1041614,1687189,
89052788,1426793,1383027,"1663438,72561",2174579,2459607,3660174,3773902,4692419,"5427557,298",5898153,6469019,6104083,
89073211,672404,673018,755949,791640,766759,633593,552369,311689,404408,603533,385846,400702,
89085005,701296,792417,-1744613,-1661356,-2592512,-4077034,-3557009,-4039859,-3801915,0,0,-2454457,
89085754,1029572,"1203416,277",1214209,1253173,1631313,2227442,2838563,3056050,3385590,3292074,3608374,2501463,
89086608,2397707,"3937054,482",3401022,3716695,3774226,4700410,5365626,5943182,5298058,5461034,4262782,4497255,
89087602,1267207,3133723,3765770,1889028,3940550,4312149,4529910,7288469,6948309,8008339,9641856,12912565,
89089261,1465879,1496525,2739263,4104167,4276194,5502817,5553619,5479876,5346459,5492103,5442785,5440662,
89090095,39462,-61829,230029,-47331,-3112365,1429395,-1360741,2028753,3135588,-5819402,0,0,
89090102,2540325,4371816,4031205,3778271,4267031,4833068,4747901,4972579,5025101,4361028,4606240,3944766,
89121680,1106109,1469628,2112851,2483851,2576056,2660060,2871611,3343876,4411698,1524550,2391330,4702865,
89126095,4253744,3444544,1486211,3420030,1080993,4722412,4491444,3465523,2380266,0,0,0,
89160107,673015,694995,723219,787053,922721,938028,-30784,-37949,28381,-22396,1907633,"2030346,557",
89166587,3123332,3570457,3684971,5371863,6103830,3986513,13619466,14031113,14485523,14976143,20110769,17211271,
89167998,1058361,1343352,1982908,2286569,2465636,2733496,2697585,2926386,3163826,3222986,3526450,3970727,
89222107,0,0,10729856,8452093,6088491,5605392,5068581,4838276,4378795,5234696,5731749,6342894,
89222964,-843399,1065335,1014466,1093413,834512,1155968,2201831,3449622,3631532,3526405,4303561,6482997,
89224195,666284,767003,0,889499,2117647,1764475,3215843,3375812,3998146,0,4383962,4422907,
89224377,"5050,225","70952,46","133657,006",311438,474695,613767,908627,1154334,1408640,1589752,1920074,2072505,
89264029,1132095,1644561,1765520,2242093,5141224,7754220,2958638,4558622,4895689,4948093,6458742,4719019,
89283498,124426,211199,242145,282279,872455,"943682,553","1027925,017","1105223,077",1206221,1343203,2218824,2462218,
89361130,4134179,4701388,4981805,7332899,7108854,7787985,7581376,6828458,11560752,11033292,10629268,9444621,
89361391,6057336,7346159,7705326,8483557,10618124,11823438,12292005,12359127,10673486,11087302,11925395,13840299,
89370854,10766249,11289679,15062355,15909063,16739856,20632603,22030644,22279768,22526946,23760131,28088828,27224940,
