ID,PT2010,PT2011,PT2012,PT2013,PT2014,PT2015,PT2016,PT2017,PT2018,PT2019,PT2020,PT2021,PT2022
233151,6299016.0,5152131.0,5279450.0,6627476.0,6820681.0,6670608.0,6557581.0,7100101.0,7468100.0,7825087.0,4704891.0,6011816.0,5370270.0
233207,5689482.583333333,3530980.0,4532003.0,5070418.0,5295751.0,5541097.0,5560420.0,5826703.0,5614366.0,6061551.0,6462979.0,6920838.0,7856685.0
233235,7428162.75,181325.0,-465628.0,467927.0,-245108.0,5221427.0,15915439.0,10934379.0,11051108.0,11351899.0,11500972.0,11674483.0,11549730.0
233284,40751542.5,45259208.0,49972342.0,48909547.0,46497465.0,31399703.0,35306879.0,37369739.0,36506438.0,41945937.0,43950364.0,42867203.0,29033685.0
233291,36377346.5,42722342.0,45463419.0,42564273.0,46288468.0,49759447.0,30781156.0,30590956.0,29889305.0,30558658.0,31302868.0,32374733.0,24232533.0
233382,10008246.0,5703773.0,5767983.0,5909729.0,6035625.0,6124479.0,10116999.0,9851230.0,9851230.0,14977536.0,15084858.0,15227859.0,15447651.0
233417,7810461.5,9825523.0,9581142.0,9003027.0,8431204.0,8483016.0,6775150.0,6769927.0,6887974.0,6967025.0,7053083.0,7044043.0,6904424.0
233487,86456308.54545455,86456308.54545455,91938829.0,94426368.0,87832644.0,60310617.0,57798459.0,67269101.0,75892591.0,92647978.0,90116406.0,105150272.0,127636129.0
233529,4275190.0,1750487.0,1475686.0,1333080.0,1200449.0,8080139.0,8332821.0,8504913.0,7177867.0,3403963.0,3356562.0,3391203.0,3295110.0
233550,27718672.833333332,24482288.0,24651770.0,27502063.0,35876567.0,39013528.0,25513442.0,25357399.0,26031381.0,25885310.0,25992177.0,28251227.0,24066922.0
233606,14857583.916666666,6462549.0,5879042.0,6554452.0,5911411.0,7916980.0,7442102.0,8598580.0,13399284.0,22643265.0,29831147.0,38958504.0,24693691.0
233627,50674705.958333336,28584809.0,30402920.0,32159359.0,37097674.0,41576086.0,48843396.0,53885989.0,49189148.0,55919266.0,66956031.5,77992797.0,85488996.0
233655,14879461.416666666,13252368.0,14033634.0,14193160.0,15160463.0,15819745.0,14632855.0,13560505.0,15168317.0,15578041.0,15900671.0,15931411.0,15322367.0
233690,19472038.083333332,8637663.0,10637423.0,12034438.0,13627114.0,16200271.0,15492420.0,19376099.0,21448764.0,25235242.0,26307145.0,32611444.0,32056434.0
233697,1530155.6666666667,337660.0,426569.0,427919.0,514857.0,529146.0,2595352.0,2271990.0,2292000.0,2275570.0,2275674.0,2252961.0,2162170.0
233711,8081708.416666667,9554170.0,9606510.0,9566662.0,9470656.0,9560795.0,8247794.0,7840278.0,7398712.0,5153259.0,5902856.0,6664216.0,8014593.0
233872,9055101.5285,11903886.0,14306917.0,13610642.0,14464401.0,13709162.0,8409133.0,7710102.0,8876172.0,9879539.0,5091329.114,303119.228,396816.0
233907,11600442.583333334,6361001.0,8299750.0,8257428.0,7667372.0,11157336.0,11316253.0,12651870.0,13015149.0,14043768.0,15887288.0,16602307.0,13945789.0
233956,12260771.75,11196222.0,11438682.0,11366715.0,11350467.0,11624995.0,12702890.0,12598696.0,12474848.0,12485545.0,12567985.0,13637867.0,13684349.0
234054,14474073.416666666,10441524.0,11283205.0,16333264.0,19121936.0,23033790.0,21644733.0,17907582.0,15346198.0,13785286.0,11801199.0,10136762.0,2853402.0
234257,3023414.1666666665,5072919.0,4380863.0,4771560.0,5096008.0,4450768.0,1858657.0,12746.0,1735323.0,-290398.0,3843965.0,1391858.0,3956701.0
234341,48574292.66458333,27689117.0,30852475.5,34015834.0,33183370.0,32575767.825,31968165.65,70535327.0,76023220.0,59626980.0,48182134.0,66805963.0,71433158.0
234411,16233539.833333334,10439829.0,10613775.0,15638310.0,16125514.0,14223492.0,15182842.0,11560509.0,16631380.0,17752510.0,21477747.0,22539891.0,22616679.0
