ID,RAGXFI2010,RAGXFI2011,RAGXFI2012,RAGXFI2013,RAGXFI2014,RAGXFI2015,RAGXFI2016,RAGXFI2017,RAGXFI2018,RAGXFI2019,RAGXFI2020,RAGXFI2021,RAGXFI2022
235608,660303.5714285715,660303.5714285715,660303.5714285715,660303.5714285715,660303.5714285715,660303.5714285715,963820.0,633884.0,580506.0,697374.0,479726.0,491110.0,775705.0
235755,1155422.0714285714,1155422.0714285714,1155422.0714285714,1155422.0714285714,1155422.0714285714,1155422.0714285714,79640.0,620070.5,1160501.0,993776.0,1810844.0,1724220.0,1698903.0
235944,1672593.7857142857,1672593.7857142857,1672593.7857142857,1672593.7857142857,1672593.7857142857,1672593.7857142857,827407.0,597687.0,629380.0,1342996.25,2056612.5,2770228.75,3483845.0
235958,365304.8333333333,365304.8333333333,365304.8333333333,365304.8333333333,365304.8333333333,365304.8333333333,365304.8333333333,380713.0,237369.0,275729.0,314089.0,353876.0,630053.0
235986,59882.0,59882.0,59882.0,59882.0,59882.0,59882.0,59882.0,59882.0,59882.0,70879.0,83562.0,72995.0,12092.0
236077,647412.4285714285,647412.4285714285,647412.4285714285,647412.4285714285,647412.4285714285,647412.4285714285,219426.0,355658.0,483166.0,521663.0,654580.0,787497.0,1509897.0
236091,211297.42857142858,211297.42857142858,211297.42857142858,211297.42857142858,211297.42857142858,211297.42857142858,148488.0,122208.0,153126.0,167165.0,249185.0,235652.0,403258.0
236189,325967.5,325967.5,325967.5,325967.5,325967.5,325967.5,260824.0,224897.0,238803.0,186122.0,275856.5,365591.0,729679.0
236252,603591.7142857143,603591.7142857143,603591.7142857143,603591.7142857143,603591.7142857143,603591.7142857143,652786.0,589428.0,555840.0,582439.0,642839.0,483693.0,718117.0
236266,172232.0,172232.0,172232.0,172232.0,172232.0,172232.0,172232.0,172232.0,172232.0,172232.0,172232.0,172232.0,172232.0
236294,,,,,,,,,,,,,
236315,2900363.8683571434,2900363.8683571434,2900363.8683571434,2900363.8683571434,2900363.8683571434,2900363.8683571434,3083552.0,4058412.0,2794701.0,1759564.719,1922246.3595,2084928.0,4599143.0
236336,455958.875,455958.875,455958.875,455958.875,455958.875,410805.0,462016.0,482793.0,503570.0,554662.0,428383.0,390508.0,414934.0
236371,662067.3333333334,662067.3333333334,662067.3333333334,662067.3333333334,603668.0,828176.0,557522.0,323992.0,326085.0,391523.0,466238.0,744680.0,1716722.0
236427,618088.8571428572,618088.8571428572,618088.8571428572,618088.8571428572,618088.8571428572,618088.8571428572,470906.0,500146.0,671114.0,671114.0,671114.0,671114.0,671114.0
236476,,,,,,,,,,,,,
236518,498966.8044285714,498966.8044285714,498966.8044285714,498966.8044285714,498966.8044285714,498966.8044285714,436008.0,295957.0,241516.0,259882.0,320421.0,409868.631,1529115.0
236609,3211972.75,3211972.75,3211972.75,3211972.75,3211972.75,1846610.0,3456689.0,3508602.0,3203566.0,3441277.0,2824952.0,2408113.0,5005973.0
236728,,,,,,,,,,,,,
236826,19609.0,19609.0,19609.0,19609.0,19609.0,19609.0,19609.0,19609.0,19609.0,19609.0,19609.0,19609.0,19609.0
236847,5949054.625,5949054.625,5949054.625,5949054.625,5949054.625,11493912.0,8708436.0,6879860.0,5051284.0,748541.0,5269016.0,5761311.0,3680077.0
236861,272402.0,272402.0,272402.0,272402.0,272402.0,272402.0,272402.0,272402.0,272402.0,272402.0,96730.0,156343.0,564133.0
236882,471932.85714285716,471932.85714285716,471932.85714285716,471932.85714285716,471932.85714285716,471932.85714285716,552342.0,582458.0,433746.0,433746.0,433746.0,433746.0,433746.0
236945,4222953.875,4222953.875,4222953.875,4222953.875,4222953.875,4941215.0,2025669.0,1137665.0,7310346.0,6139192.0,8009021.0,1991810.0,2228713.0
236966,702931.0,702931.0,702931.0,702931.0,702931.0,702931.0,702931.0,702931.0,702931.0,702931.0,702931.0,702931.0,702931.0
237029,109971.5,109971.5,109971.5,109971.5,109971.5,109971.5,109971.5,46089.0,20610.0,31788.0,21841.0,24339.0,515162.0
237036,20523.0,20523.0,20523.0,20523.0,20523.0,20523.0,20523.0,20523.0,20523.0,20523.0,20523.0,20523.0,20523.0
237176,1958552.9455,1958552.9455,1958552.9455,1958552.9455,1958552.9455,104309.154,616233.0,2192425.0,3269344.0,2676686.0,4525189.0,1142118.705,1142118.705
237218,122441.28571428571,122441.28571428571,122441.28571428571,122441.28571428571,122441.28571428571,122441.28571428571,148073.0,109082.0,70091.0,65427.0,130023.0,134017.0,200376.0
237260,281250.875,281250.875,281250.875,281250.875,281250.875,539920.0,553881.0,655842.0,418417.0,58525.0,19311.0,4110.0,1.0
237407,2624.5714285714284,2624.5714285714284,2624.5714285714284,2624.5714285714284,2624.5714285714284,2624.5714285714284,774.0,1220.0,2362.0,3504.0,3504.0,3504.0,3504.0
237421,780907.4285714285,780907.4285714285,780907.4285714285,780907.4285714285,780907.4285714285,780907.4285714285,412074.0,284947.0,174589.0,498468.0,837939.0,2519491.0,738844.0
237463,167182.08771428574,167182.08771428574,167182.08771428574,167182.08771428574,167182.08771428574,167182.08771428574,91850.0,112446.0,128433.0,289761.0,150006.0,198889.307,198889.307
237652,260730.75,260730.75,260730.75,260730.75,260730.75,230096.0,177900.0,164989.0,156342.0,225951.0,236566.0,310639.0,583363.0
237659,57845.71428571428,57845.71428571428,57845.71428571428,57845.71428571428,57845.71428571428,57845.71428571428,44188.0,44309.0,67611.0,79394.0,73621.0,67848.0,27949.0
237715,694772.7142857143,694772.7142857143,694772.7142857143,694772.7142857143,694772.7142857143,694772.7142857143,247823.0,297537.0,386222.0,55432.0,2119531.0,496813.0,1260051.0
237736,169746.2857142857,169746.2857142857,169746.2857142857,169746.2857142857,169746.2857142857,169746.2857142857,154579.0,222372.0,135136.0,104544.0,169339.0,197401.0,204853.0
237939,3421.4285714285716,3421.4285714285716,3421.4285714285716,3421.4285714285716,3421.4285714285716,3421.4285714285716,11293.0,110.0,60.0,8528.0,15.0,2185.0,1759.0
237967,256062.2857142857,256062.2857142857,256062.2857142857,256062.2857142857,256062.2857142857,256062.2857142857,458082.0,186488.0,370659.0,133398.0,186376.0,173373.0,284060.0
238009,4098069.125,4098069.125,4098069.125,4098069.125,4098069.125,5300757.0,3605279.0,2407585.0,4156330.0,7496351.0,4970276.0,1374606.0,3473369.0
238079,264959.71428571426,264959.71428571426,264959.71428571426,264959.71428571426,264959.71428571426,264959.71428571426,431558.0,143487.0,200821.0,185254.0,297866.0,297866.0,297866.0
238163,1519539.4285714286,1519539.4285714286,1519539.4285714286,1519539.4285714286,1519539.4285714286,1519539.4285714286,3540128.0,1059903.0,1573941.0,1176705.0,1341879.0,876382.0,1067838.0
238275,310223.25,310223.25,310223.25,310223.25,310223.25,310223.25,310223.25,310223.25,310223.25,409848.0,379112.0,271555.0,180378.0
238303,1201777.0,1201777.0,1201777.0,1201777.0,1201777.0,1201777.0,852544.0,968955.0,1085366.0,1201777.0,1318188.0,1434599.0,1551010.0
238485,59729.0,59729.0,59729.0,59729.0,59729.0,59729.0,90419.0,78897.0,67636.0,52865.0,40340.0,43973.0,43973.0
238618,1631173.4285714286,1631173.4285714286,1631173.4285714286,1631173.4285714286,1631173.4285714286,1631173.4285714286,1077643.0,1021798.3333333334,965953.6666666666,910109.0,1838965.0,1970525.0,3633220.0
238688,2952362.8865714287,2952362.8865714287,2952362.8865714287,2952362.8865714287,2952362.8865714287,2952362.8865714287,2134145.0,3451415.0,3367914.0,3626632.0,3123018.206,1674678.0,3288738.0
238737,3846023.0,3846023.0,3846023.0,3846023.0,3846023.0,3846023.0,3194771.0,3896565.0,3934105.0,3393407.0,3091506.0,4010540.0,5401267.0
238744,,,,,,,,,,,,,
238891,2078757.5864583335,192606.512,289105.9345,385605.357,343776.617,521179.74466666667,698582.8723333334,875986.0,1067861.0,2410005.0,6325708.0,3929930.0,7904744.0
238919,16431.214285714286,16431.214285714286,16431.214285714286,16431.214285714286,16431.214285714286,16431.214285714286,15476.0,13740.5,12005.0,9921.666666666666,7838.333333333333,5755.0,50282.0
238982,81610.0,81610.0,81610.0,81610.0,81610.0,81610.0,81610.0,81610.0,81610.0,81610.0,81610.0,81610.0,81610.0
238989,62692.28571428572,62692.28571428572,62692.28571428572,62692.28571428572,62692.28571428572,62692.28571428572,118067.0,67322.0,43094.0,52252.0,17410.0,77793.0,62908.0
238996,110831.28571428571,110831.28571428571,110831.28571428571,110831.28571428571,110831.28571428571,110831.28571428571,3300.0,690.0,21246.0,89017.0,218438.0,181355.0,261773.0
239045,692124.2857142857,692124.2857142857,692124.2857142857,692124.2857142857,692124.2857142857,692124.2857142857,710195.0,466951.0,369145.0,788011.0,926214.0,759460.0,824894.0
239073,849344.4627514286,849344.4627514286,849344.4627514286,849344.4627514286,849344.4627514286,849344.4627514286,1108082.93068,839459.30858,793357.0,718515.0,915234.0,642697.0,928066.0
239115,43065.75,43065.75,43065.75,43065.75,43065.75,43065.75,43065.75,155298.0,13172.0,35725.0,31722.0,18066.5,4411.0
239185,2171.714285714286,2171.714285714286,2171.714285714286,2171.714285714286,2171.714285714286,2171.714285714286,3115.0,2689.0,252.0,769.6666666666666,1287.3333333333333,1805.0,5284.0
239241,1143994.0,1143994.0,1143994.0,1143994.0,1143994.0,1143994.0,1143994.0,1143994.0,1143994.0,1143994.0,1143994.0,1143994.0,1143994.0
239276,100642.0,100642.0,100642.0,100642.0,100642.0,100642.0,126821.0,150661.0,128690.0,40066.0,100237.0,69990.0,88029.0
239290,7907905.125,7907905.125,7907905.125,7907905.125,7907905.125,13025261.0,3825515.0,1950870.0,6206159.0,9563859.0,9563859.0,9563859.0,9563859.0
239332,2142356.0714285714,2142356.0714285714,2142356.0714285714,2142356.0714285714,2142356.0714285714,2142356.0714285714,2040804.0,1077097.0,1318816.5,1560536.0,2192601.0,2824666.0,3981972.0
239346,24787.571428571428,24787.571428571428,24787.571428571428,24787.571428571428,24787.571428571428,24787.571428571428,10005.0,19133.0,10303.0,33518.0,33518.0,33518.0,33518.0
239360,174751.875,174751.875,174751.875,174751.875,174751.875,40374.0,131097.0,36942.0,308435.0,221993.0,135551.0,161679.0,361944.0
239465,145562.14285714287,145562.14285714287,145562.14285714287,145562.14285714287,145562.14285714287,145562.14285714287,400889.0,222623.0,172259.0,55791.0,55791.0,55791.0,55791.0
239500,1382876.2857142857,1382876.2857142857,1382876.2857142857,1382876.2857142857,1382876.2857142857,1382876.2857142857,2295395.0,1711165.0,1817044.0,1001501.0,884438.0,828297.0,1142294.0
239542,,,,,,,,,,,,,
239577,2168966.1428571427,2168966.1428571427,2168966.1428571427,2168966.1428571427,2168966.1428571427,2168966.1428571427,1411390.0,1679680.0,2135745.0,2591810.0,2099474.0,2256457.0,3008207.0
239647,35154.0,35154.0,35154.0,35154.0,35154.0,35154.0,35154.0,67325.0,40777.0,27756.0,26057.0,20825.0,28184.0
239696,6516829.875,6516829.875,6516829.875,6516829.875,6516829.875,8812669.0,12104517.0,2189310.0,3326018.0,6707233.0,5341554.0,3975875.0,9677463.0
239759,4430.25,4430.25,4430.25,4430.25,4430.25,3200.0,303.0,253.0,1656.0,2585.0,1001.0,1679.0,24765.0
239899,809451.2857142857,809451.2857142857,809451.2857142857,809451.2857142857,809451.2857142857,809451.2857142857,556922.0,354912.0,753045.0,711974.0,1609942.0,343735.0,1335629.0
239906,34301.42857142857,34301.42857142857,34301.42857142857,34301.42857142857,34301.42857142857,34301.42857142857,39065.0,42273.0,49359.0,47961.0,45399.0,8595.0,7458.0
239976,,,,,,,,,,,,,
240025,4540352.5,4540352.5,4540352.5,4540352.5,4540352.5,4540352.5,4540352.5,2008094.0,4308358.0,4723972.0,4540567.0,3719490.0,7941634.0
240074,350692.0,350692.0,350692.0,350692.0,350692.0,474506.0,164636.0,14021.0,62642.0,271378.0,650769.0,583792.0,583792.0
240081,898465.75,898465.75,898465.75,898465.75,898465.75,734075.0,981078.0,1068416.0,1410822.0,992584.0,695791.0,403141.0,901819.0
240165,1300268.0,1300268.0,1300268.0,1300268.0,1300268.0,1300268.0,1211406.0,1075817.0,838258.0,1439969.0,1512142.0,1512142.0,1512142.0
240179,21718.285714285714,21718.285714285714,21718.285714285714,21718.285714285714,21718.285714285714,21718.285714285714,71835.0,35902.0,6636.0,4754.0,18529.0,1890.0,12482.0
240186,95670.4,95670.4,95670.4,95670.4,95670.4,95670.4,95670.4,95670.4,98127.0,40848.0,2358.0,204402.0,132617.0
240235,17627.5,17627.5,17627.5,17627.5,17627.5,17627.5,58262.0,41052.0,10595.0,6283.0,4012.5,1742.0,1446.0
240242,11171.42857142857,11171.42857142857,11171.42857142857,11171.42857142857,11171.42857142857,11171.42857142857,7454.0,24792.0,1874.0,11441.0,17713.0,12655.0,2271.0
240256,173182.0,173182.0,173182.0,173182.0,173182.0,173182.0,173182.0,173182.0,173182.0,173182.0,173182.0,173182.0,173182.0
240277,708055.1428571428,708055.1428571428,708055.1428571428,708055.1428571428,708055.1428571428,708055.1428571428,1028720.0,654611.0,654611.0,654611.0,654611.0,654611.0,654611.0
240291,111593.75,111593.75,111593.75,111593.75,111593.75,63129.0,76108.0,73813.0,94911.0,154745.0,135574.0,155742.0,138728.0
240312,22555.02775,22555.02775,22555.02775,22555.02775,22555.02775,21995.611,24025.074,26054.537,28084.0,7405.0,4555.0,67191.0,1130.0
240347,,,,,,,,,,,,,
240501,2166.5714285714284,2166.5714285714284,2166.5714285714284,2166.5714285714284,2166.5714285714284,2166.5714285714284,3531.0,3414.0,5252.0,681.0,735.0,836.0,717.0
240529,56401.28571428572,56401.28571428572,56401.28571428572,56401.28571428572,56401.28571428572,56401.28571428572,86702.0,76687.0,28799.0,22374.0,57999.0,92224.0,30024.0
240557,,,,,,,,,,,,,
240578,3253543.75,3253543.75,3253543.75,3253543.75,3253543.75,2088824.0,3060708.0,2950278.0,1587585.0,5128515.0,4827973.0,3192993.0,3191474.0
240725,7953475.0,7953475.0,7953475.0,7953475.0,7953475.0,7953475.0,10688579.0,9147480.0,10150715.0,9901286.0,8030062.0,6379034.0,1377169.0
240732,1419349.857142857,1419349.857142857,1419349.857142857,1419349.857142857,1419349.857142857,1419349.857142857,1989640.0,552796.0,726857.0,754344.0,996448.0,1505210.0,3410154.0
240760,272483.6,272483.6,272483.6,272483.6,272483.6,272483.6,272483.6,272483.6,57934.0,282670.0,311637.3333333333,340604.6666666667,369572.0
240921,,,,,,,,,,,,,
241005,1481356.4166666667,1481356.4166666667,1481356.4166666667,1481356.4166666667,1481356.4166666667,1481356.4166666667,1481356.4166666667,1085107.0,1934655.5,2784204.0,1350700.0,914340.0,819132.0
241145,46848.142857142855,46848.142857142855,46848.142857142855,46848.142857142855,46848.142857142855,46848.142857142855,30238.0,230017.0,4923.0,3998.0,3073.0,6148.0,49540.0
241159,43266.28571428572,43266.28571428572,43266.28571428572,43266.28571428572,43266.28571428572,43266.28571428572,57866.0,52848.0,31365.0,30134.0,48923.0,44968.0,36760.0
241166,170846.14285714287,170846.14285714287,170846.14285714287,170846.14285714287,170846.14285714287,170846.14285714287,165409.0,150152.0,150983.0,290782.0,146647.0,100594.0,191356.0
241383,1912011.827,1912011.827,1912011.827,1912011.827,1912011.827,1912011.827,1543113.0,1288672.0,1425187.0,1487002.789,2128548.0,2755780.0,2755780.0
241432,66252.64285714286,66252.64285714286,66252.64285714286,66252.64285714286,66252.64285714286,66252.64285714286,33882.0,31613.0,95772.5,159932.0,49405.0,48986.0,44178.0
241439,969061.1428571428,969061.1428571428,969061.1428571428,969061.1428571428,969061.1428571428,969061.1428571428,1122395.0,671739.0,644287.0,634315.0,1035294.0,848338.0,1827060.0
241572,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0,5147.0
241677,12335290.25,12335290.25,12335290.25,12335290.25,12335290.25,22320449.0,17882600.666666668,13444752.333333334,9006904.0,9006904.0,9006904.0,9006904.0,9006904.0
241691,137670.5,137670.5,137670.5,137670.5,137670.5,137670.5,137670.5,238563.0,198206.0,157849.0,117492.0,77135.0,36778.0
241719,,,,,,,,,,,,,
241838,136003.14285714287,136003.14285714287,136003.14285714287,136003.14285714287,136003.14285714287,136003.14285714287,204515.0,277492.0,161021.0,155035.0,92590.0,30145.0,31224.0
241866,6268946.285714285,6268946.285714285,6268946.285714285,6268946.285714285,6268946.285714285,6268946.285714285,470851.0,403753.0,8601604.0,8601604.0,8601604.0,8601604.0,8601604.0
241901,19146.85714285714,19146.85714285714,19146.85714285714,19146.85714285714,19146.85714285714,19146.85714285714,15390.0,20478.0,32433.0,43067.0,4439.0,3969.0,14252.0
241971,1605389.8125,1605389.8125,1605389.8125,1605389.8125,1605389.8125,2614162.0,3680730.0,386039.0,670182.0,1923362.0,1666438.5,1409515.0,492690.0
242069,183470.875,183470.875,183470.875,183470.875,183470.875,5598.0,4278.0,5182.0,7447.0,11014.0,100528.0,705470.0,628250.0
242160,299215.5,299215.5,299215.5,299215.5,299215.5,299215.5,299215.5,299215.5,299215.5,299215.5,299215.5,304775.0,293656.0
242181,1608231.0,1608231.0,1608231.0,1608231.0,1608231.0,1608231.0,1608231.0,1608231.0,1458214.0,1612024.0,1231258.0,1742820.0,1996839.0
242300,,,,,,,,,,,,,
242468,36444.71428571428,36444.71428571428,36444.71428571428,36444.71428571428,36444.71428571428,36444.71428571428,24317.0,18342.0,36844.0,55346.0,73848.0,23208.0,23208.0
242503,,,,,,,,,,,,,
242531,28397.428571428572,28397.428571428572,28397.428571428572,28397.428571428572,28397.428571428572,28397.428571428572,31826.0,17379.0,26985.0,42534.0,34470.0,18667.0,26921.0
242650,1262912.4423999998,1262912.4423999998,1262912.4423999998,1301665.24,1383289.988,1733193.0,2079929.0,1230661.0,1105249.0,1003513.0,759463.0,712422.494,1319738.702
242734,10719846.25,10719846.25,10719846.25,10719846.25,10719846.25,14381394.0,11632182.0,7080512.0,2528842.0,9527734.0,11531884.666666666,13536035.333333334,15540186.0
242748,,,,,,,,,,,,,
242755,2012959.4285714286,2012959.4285714286,2012959.4285714286,2012959.4285714286,2012959.4285714286,2012959.4285714286,2250058.0,2010460.0,2241944.0,2087114.0,1984462.0,1499523.0,2017155.0
242860,29504.285714285714,29504.285714285714,29504.285714285714,29504.285714285714,29504.285714285714,29504.285714285714,727.0,737.0,1169.0,846.0,202102.0,422.0,527.0
242916,2130600.8571428573,2130600.8571428573,2130600.8571428573,2130600.8571428573,2130600.8571428573,2130600.8571428573,2716324.0,2163772.0,2211339.0,2167468.0,2085146.0,849777.0,2720380.0
242958,3916266.0,3916266.0,3916266.0,3916266.0,3916266.0,6704681.0,4124792.0,3441702.0,3940859.0,3523014.0,2956751.0,2497901.0,4140428.0
243014,1483381.5,1483381.5,1483381.5,1483381.5,2501259.0,2246789.625,1992320.25,1737850.875,1483381.5,1228912.125,974442.75,719973.375,465504.0
243028,642594.9375,642594.9375,642594.9375,642594.9375,642594.9375,1162507.0,1502728.0,210345.0,327207.0,869900.0,607157.5,344415.0,116500.0
243070,1364924.0,1364924.0,1364924.0,1364924.0,1364924.0,1364924.0,2186580.0,1739901.0,2008920.0,1403000.0,820142.0,435833.0,960092.0
243119,21908.125,21908.125,21908.125,21908.125,21908.125,9983.0,42216.0,46085.0,22657.0,26329.0,13263.0,13162.0,1570.0
243203,1095859.142857143,1095859.142857143,1095859.142857143,1095859.142857143,1095859.142857143,1095859.142857143,3367330.0,1359822.0,1022442.0,202532.0,1443445.0,25247.0,250196.0
