ID,SECTOR,RANGO_INGRESOS,EMPLEADOS,EDAD_EMPRESA,TIPOSOC
246304,0,1,320.0,47,0
246339,2,9,70.0,47,7
246535,6,9,458.0,47,7
246591,1,9,528.0,55,1
246647,5,3,50.0,46,0
246675,6,0,105.0,47,2
246913,11,2,15.0,46,7
246920,0,9,3.327,46,7
247004,12,3,214.0,47,7
247088,6,3,41.0,46,0
247172,0,2,7.0,57,2
247235,6,9,137.0,46,0
247242,5,9,637.0,46,0
247298,6,4,41.0,5,0
247564,2,9,526.0,46,0
247662,13,9,1.264,46,7
247690,6,0,48.0,29,7
247697,6,5,105.0,46,7
247732,2,0,160.0,46,0
247746,5,7,84.0,46,4
247837,0,3,15.0,46,7
247914,2,0,99.0,46,7
247963,2,3,26.0,47,7
248005,5,3,37.0,46,7
248019,12,1,54.0,46,0
248054,0,5,267.0,46,7
248082,2,9,53.0,46,2
248173,6,3,123.0,46,0
248187,6,1,23.0,46,0
248432,13,6,5.0,46,7
248509,6,9,778.0,46,7
248607,2,7,74.0,51,2
248761,6,4,21.0,46,2
248824,2,7,75.0,46,7
249125,11,8,5.0,46,7
249279,6,8,8.0,46,7
249307,7,4,14.0,46,0
249328,12,4,9.0,46,3
249342,2,3,170.0,46,7
249377,9,4,44.0,46,7
249405,6,3,76.0,46,7
249440,9,0,97.0,46,0
249706,2,7,15.0,46,7
249755,2,8,2.0,46,0
249951,0,2,15.0,46,0
249958,6,3,45.0,46,0
249965,6,7,19.0,46,7
249972,6,9,312.0,46,7
249979,6,3,37.0,46,7
250119,13,9,1.191,47,7
250140,6,7,19.0,46,7
250161,2,6,24.0,47,2
250210,11,2,8.0,46,0
250266,2,3,125.0,46,0
250357,6,1,41.0,46,7
250511,0,9,469.0,46,0
250672,6,9,36.0,46,7
250693,2,1,260.0,46,7
250749,11,8,4.0,46,7
250784,6,3,71.0,46,0
250868,6,3,24.0,46,2
251106,11,2,9.0,45,7
251176,6,1,10.0,45,7
251183,5,2,3.0,45,2
251386,2,9,503.0,45,7
251463,11,8,2.0,45,0
251512,11,6,4.0,52,0
251680,5,2,10.0,45,7
251694,5,3,50.0,45,0
251757,7,6,45.0,45,2
251855,11,4,1.0,45,7
251883,11,0,1.0,45,7
251890,13,7,254.0,45,3
251904,2,3,88.0,45,0
251925,5,6,30.0,45,2
251995,11,0,1.0,45,2
252149,6,3,89.0,45,7
252191,13,1,791.0,45,0
252219,13,5,2.417,42,7
252247,11,8,3.0,45,3
252261,11,8,2.0,45,4
252422,5,4,208.0,45,0
252443,14,5,439.0,45,0
252562,11,5,150.0,45,7
252569,6,8,7.0,45,0
252716,12,3,6.0,45,7
253017,0,8,10.0,45,7
253122,6,6,17.0,45,7
253220,2,7,80.0,44,7
253227,2,3,115.0,45,7
253360,11,8,5.0,45,7
253409,6,9,117.0,45,0
253696,6,9,260.0,45,2
253738,11,8,8.0,45,7
253780,6,10,2.0,45,0
253843,6,3,102.0,45,0
253864,12,5,785.0,45,7
254095,11,8,3.0,45,7
254312,9,7,107.0,44,0
254417,11,8,4.0,47,7
254445,2,5,234.0,44,0
254501,11,8,1.0,44,7
254655,13,9,5.586,45,0
254795,6,8,3.0,45,4
254830,11,3,250.0,45,7
254921,14,7,96.0,45,2
255404,11,8,2.0,45,7
255446,6,3,65.0,45,7
255621,2,1,40.0,45,7
255691,2,5,45.0,45,0
255740,6,3,33.0,45,0
255880,6,9,287.0,45,7
255950,2,6,46.0,45,7
255957,8,10,2.0,45,7
256041,2,0,64.0,45,2
256090,6,3,24.0,45,7
256104,5,2,39.0,45,7
256167,2,4,28.0,45,0
256314,6,3,19.0,45,0
256419,6,9,793.0,45,0
256482,6,4,9.0,45,0
256664,8,2,19.0,45,0
256671,2,2,15.0,44,0
256699,2,3,37.0,45,0
256706,6,3,86.0,44,7
256839,2,3,50.0,44,7
256881,2,0,39.0,44,0
256902,6,9,311.0,44,7
256937,6,8,2.0,44,0
256986,11,1,56.0,45,7
257000,6,1,20.0,44,7
257105,14,8,47.0,44,2
257126,0,4,14.0,44,7
257189,11,8,3.0,44,3
257196,2,7,32.0,44,0
257546,2,2,30.0,55,0
257749,1,9,393.0,44,1
257770,11,8,5.0,44,7
258092,10,8,2.0,44,7
258155,11,2,5.0,44,7
258400,11,6,2.0,44,0
258470,0,8,12.0,45,2
258512,13,7,12.0,44,7
258540,5,5,246.0,44,0
258680,2,9,474.0,44,0
258722,11,7,4.0,43,7
258729,11,8,2.0,44,2
258736,6,0,14.0,44,2
259016,5,5,243.0,46,7
259156,9,3,234.0,44,7
259177,2,3,361.0,44,7
259212,2,1,111.0,44,7
259387,11,2,4.0,44,7
259394,7,6,290.0,44,0
259604,2,9,3.106,44,0
259632,6,2,6.0,44,7
259667,6,9,1.003,44,0
259695,5,9,401.0,44,7
259716,11,4,5.0,44,7
259744,11,1,6.0,44,0
259758,6,9,71.0,44,0
259779,2,9,460.0,26,7
259814,11,0,7.0,44,7
259884,13,5,56.0,44,7
259898,5,8,9.0,44,7
259919,13,7,24.0,44,0
259926,11,8,2.0,44,7
259947,6,3,63.0,44,7
260087,13,4,96.0,33,7
260206,2,0,40.0,44,2
260241,10,8,1.0,44,7
260367,2,0,84.0,44,7
260374,6,5,162.0,44,0
260472,6,9,408.0,44,7
260528,11,4,2.0,44,0
260549,12,0,68.0,44,7
260633,11,8,94.74681518124376,44,2
260871,11,4,1.0,44,7
260878,6,7,25.0,44,7
260920,11,2,6.0,44,7
260948,13,3,1.671,44,0
260983,11,0,6.0,44,7
261060,6,9,190.0,44,0
261074,6,9,192.0,44,7
261116,12,2,8.0,44,7
261382,11,8,3.0,44,7
261396,2,3,77.0,44,0
261417,11,8,3.0,44,7
