ID,Endeudamiento2010,Endeudamiento2011,Endeudamiento2012,Endeudamiento2013,Endeudamiento2014,Endeudamiento2015,Endeudamiento2016,Endeudamiento2017,Endeudamiento2018,Endeudamiento2019,Endeudamiento2020,Endeudamiento2021,Endeudamiento2022
33872165,3.110855565180301,1.92903520012324,3.29668151038623,3.63414461354399,5.11829995050444,6.67513661451141,3.16524921774698,2.039217676131,1.73597443890788,1.73404945542723,2.21350092596697,2.87194176767091,2.91703541124333
33873775,1.3134276222403964,2.38802964672967,1.62346037176707,2.31921306073437,1.46501101949713,0.949382046304851,2.3150439252695,1.36728731361517,1.0063907287192,0.508344849408483,0.760002227146275,0.743140671892262,0.315825605800777
33898242,3.3033805260149016,6.54046923569805,2.37512143746955,2.2608232388379,3.13635325559895,4.36544327851491,1.39308909924398,1.47768690842137,2.07346062570632,2.76616774107211,2.95496363638867,4.17580415254164,6.12118370268537
33899299,1.3955767956951892,1.9734003589308,1.47572237657337,1.60423213754914,1.32885577985867,1.57312393351897,1.63166444134211,1.11512361670121,0.96335130567185,1.12732251627177,1.40412184550423,1.32624257143342,1.22376066498673
33899467,3.5519915583693464,2.59390788823047,2.53326264806811,3.74890346782,3.41151360054233,6.62348791962467,3.66924872785488,3.0720684121142,3.26528732323414,3.42655467823584,3.42655467823584,3.42655467823584,3.42655467823584
33981320,0.09277391493640974,0.09277391493640974,0.20026284757924,0.18561428317648399,0.170965718773728,0.167612544176058,0.0978034540222177,0.0733005827355608,0.0572716446059071,0.0327631030766832,0.024106802259046,0.0037254025962397,0.0070866812993426
33983868,3.8705543624421765,1.00029252679594,0.492628128099552,3.19940788752638,6.44762100869044,7.52187065431363,2.07749759267214,4.16778396853638,4.52974117040071,4.63344614623496,4.37403683562982,3.91748915207054,4.08483727833563
33986612,1.5355056796734539,1.33788849996868,0.727970312514558,1.18010198594606,1.51967331439106,1.39249279145365,1.43335969669954,1.36080456009368,1.51398059908208,0.832890865879745,0.88102938420015,1.44562423940769,4.80025190644455
33986675,1.8209880772800322,2.64020228346084,5.1962160778938,5.84751736082276,3.81719697718992,2.30387822535836,0.2347731708694,0.315395758615801,0.477609108585019,0.119023981502703,0.285742818012848,0.394138595659562,0.220162569389374
34044489,4.827815380882161,9.09473476402824,8.23517317728926,7.8073117984189,7.36492119759305,4.13912781414157,7.04461986488124,4.28363606925866,2.45576535656141,1.14016015704741,1.62908342629875,2.46008114807155,2.27916979699589
34045077,0.29169629975969713,0.342330283584149,0.277472332949959,0.312549997709944,0.280182450812838,0.330411152175699,0.256935186527323,0.180768612784105,0.227544001357134,0.279447530112234,0.19901616835394,0.308776599434274,0.504921281314766
34046226,0.9410363616366166,0.754692007773167,0.895846762967216,0.807999492664963,0.636930639911486,0.601569130100824,0.805029391975114,0.690875962632853,0.664934611164597,1.55802441067845,1.30687606845647,1.34436121357283,1.22529664774143
34047409,2.998722947114487,3.40593088537998,2.17296762768594,1.98725098369678,1.34785024872161,1.30197092344699,1.20133848769113,1.23946436754174,1.64683474090324,2.12676012293391,3.13718018308919,4.16201023957874,12.2551165547046
34047486,0.33872508819726704,0.273844390333884,0.120032520741575,0.137536276680999,0.125721232371266,0.297195297890687,0.565302137901344,0.999145694598068,0.817656033592314,0.638830954703888,0.0371527428509396,0.0199800358020828,0.0323037409001575
34096925,1.1375662067563472,0.992400551298569,0.97938240114553,0.967743945354226,1.16553838880144,0.776716406188162,0.832265836593893,0.777688107850078,0.845686427493639,1.47818294034872,1.82518262620102,1.4413111678811,1.56869568191979
34097793,0.10720227079393434,0.0112240105417291,0.0043107608590739,0.0054179266496084,0.007798761032545,0.0335675249109005,0.148913308102922,0.233557834812545,0.195892481901462,0.178346528168632,0.157452034816805,0.143282809683655,0.166663268047334
34097863,0.5495419558233824,3.30750415172416,0.489813604222595,0.67997473355051,0.870135862878425,0.259962593550771,0.146023675640388,0.0503518021852114,0.146622230449403,0.150540909098675,0.16410520222667452,0.177669495354674,0.151799208999101
34098213,0.34435701276715497,1.01841344398504,0.570032768736341,0.284507056447805,0.207665765916781,0.227968694577142,0.155320025508231,0.0782770113655171,0.261016076658626,0.282757697711087,0.32310775582274,0.386433401929097,0.336784454547453
34098451,3.2441776980938726,9.68194329568413,4.7612647325476,5.65100165664138,3.63262045966039,1.6142392626794,1.91071004278108,1.95649599389931,1.36602123959144,1.09674873933358,1.22970431760786,2.43740700271013,3.59197563399017
34121941,1.0824642361922188,1.00224628061791,1.1057398729557,1.92194465587348,2.3622990287941,1.45373154114098,0.606954475760203,0.345894861774117,0.278506782422264,1.08813679160149,0.701806377932163,1.5187186097183,0.603591555715916
34123173,1.0524993702584684,1.0524993702584684,1.86445031472457,1.58423931298641,1.32287042074109,1.56879503788552,1.2051075569174095,0.841420075949299,0.436765219021902,0.651670618938694,0.520984274700893,0.867379525392657,0.713810715584708
34124440,2.2282031155872755,3.76835186920901,2.95693793996029,4.5302789197876,6.10361989961491,3.4229676054828735,0.742315311350837,0.970616193782468,1.04240988751634,1.03750285740812,0.909671453578838,0.630449723100925,0.623315726255096
34129355,3.684172910011591,2.50431328085821,1.84335714878496,1.11797045295318,1.80173067796533,1.43467378517921,2.15535550208197,2.38450010064407,2.12580548229677,5.44868071741595,8.976900354846926,12.5051199922779,1.91166742483462
34130965,1.6162288004525405,0.48752486894373,0.496716128544558,3.84047693210382,1.51341704728864,2.08139933804419,1.69244498485523,1.64106162783758,2.69329401623359,2.01437818528354,1.6522819882791,0.607067238868737,0.674683249147773
34136657,1.9801170728140678,0.504929231224783,2.00878056496596,4.32220419944281,4.78184271195735,3.43340242883607,3.86961790433501,2.02562076097005,1.18576123390405,0.697405489434691,0.361956679958041,0.310264481632769,0.259619187107235
34137469,2.763715722715592,2.46070680591754,4.93080794403071,3.58371713846643,1.92351173832473,1.7254388008194,1.55689400080652,2.61898775002319,2.4206304135771,2.37413110102694,2.80079780127496,3.56799603118008,3.20096914713951
34212218,0.6797645337778312,0.16301731261405,0.592181112101622,1.9606974711021,2.3366499274216,2.17785666399235,0.237520790364021,0.204820231407741,0.098740786302266,0.11179918780065,0.0556188254041511,0.15210448659832,0.0661676102251025
