ID,RAIE2010,RAIE2011,RAIE2012,RAIE2013,RAIE2014,RAIE2015,RAIE2016,RAIE2017,RAIE2018,RAIE2019,RAIE2020,RAIE2021,RAIE2022
57956613,7549278,9391680,10177200,12043046,16973572,19223556,21068502,23168392,27906760,36396136,32250893,41385878,46163745
57956634,356718,3331459,1421226,961689,2369742,3890915,5033022,1347258,1556193,1382562,1221533,1779265,1761484
58114142,25172971,182779948,226862899,233908362,223303800,234732403,225695850,244792268,280053073,367622674,370686117,557136899,655295102
58117698,7705593,13062814,20097614,18800613,13153676,18862620,20955752,43214588,30113517,19745223,9297140,0,2862236
58117705,6669994,7221959,8356800,8758181,9043122,9683367,10173548,10636822,4004057,11113502,4565195,6508515,6021073
58120667,0,31300,51103,52675,106166,190458,303670,299579,2324412,1182469,133998,220883,661946
58239407,12208174,13774396,17245955,23595435,25312832,31301801,31739917,41051632,45011441,55779143,45438711,81029142,91683797
58242821,4588423,10642860,"19719157,693",17996576,23228395,"32488395,912",29101915,24995701,34159359,35409764,30086673,32635370,55593406
58243708,0,58634752,52099709,27692261,22849755,14445819,1473696,3093967,2897775,2385080,2139163,541473,1732931
58268138,17633326,14234081,15350904,14627682,19271397,18363965,18050805,21449875,20517636,20917250,22179765,26188696,23320513
58585621,0,"670712,932","4784197,593","15708256,181",21279534,"15957226,767",10740126,39784027,12429080,37186376,72000427,82679504,204747447
58586762,0,368718,0,0,813705,986767,1513213,1551553,2237036,2240760,1662962,1931419,3172158
58589548,"9039441,946","9029426,153","7415913,445",8857708,8646183,10419031,"9094343,926","6381009,57","6134267,583",6519564,4238511,6048107,6726876
58590017,691220,616071,801133,747966,4790210,991457,1127885,8056927,2171897,1511006,1410416,2072540,1551795
60499601,3983054,4024241,4136745,4859417,7021442,2966942,1889684,3994281,7093100,9442940,5011725,6814518,10137441
60502198,9638962,6103018,9111886,7907946,10033564,8750082,7697807,13375286,10383945,11076254,8360692,11903900,13178943
60502471,10869201,58352,1190013,422000,1629057,807000,"1098864,181",2520884,16382724,19436708,27406446,29280316,21328868
63122814,4293462,4521841,"4625763,378",3767704,4640577,4862586,4365446,3823750,2802193,2267206,595310,1618232,0
63122871,2978508,3985193,5031245,7853413,10430017,12933300,16723395,20828740,21071114,23121506,21377590,26924343,33847726
63122985,8097031,8717301,6151040,4789218,5850576,6074588,5683092,5926362,5531611,4743188,4694337,7599423,7921949
63123051,29654532,50081510,56040068,"59046568,86",74216610,72056522,80019503,122995104,107921016,61978396,0,"7811377,892",14976185
63123058,0,0,0,0,0,0,242,437874,1022401,72125,0,0,0
63123100,58118397,50010095,39113687,39112261,8269722,6351806,97687572,46440278,91962363,29201537,39025098,78919756,40497895
63123108,49056609,48424402,42466968,33223250,22436159,26662358,19118038,21741109,16189116,25155183,3306163,134077,0
63123150,7539850,10705824,10266016,11012069,10688618,11832674,14189472,13608303,13012245,12798217,18689007,25267424,33096947
63123172,0,0,0,0,765736,642297,2556046,4037395,2477482,6394478,6623970,19473161,2064357
63123354,11632392,13586391,16064702,16258393,16259289,18037689,19231300,19604804,22790292,22504560,7178932,12495623,17096084
63123607,1762993,1330175,867777,794500,1599580,1996005,1224726,1706283,932971,1020935,1365630,1050945,1282710
63123635,5862712,6930746,6481898,6455479,7156542,7759192,7671063,"6185266,21",5869645,5902782,0,6700367,7455868
63123679,9101411,11044901,11422042,11942048,12912882,13489411,27080053,29733194,27633278,26371655,31329923,16775000,14170128
63123694,9173326,10349330,10961828,13443341,13224757,15403932,14742124,14326610,16094391,18073088,11573897,18070238,26101633
63123702,71914635,70415816,"70336821,592",68570486,55194399,19164046,20915894,30620390,55707647,44622327,57109036,53882588,37142036
63123710,"1577484,488","2806157,436",3121981,3697357,4223945,4809319,5595355,8008128,7601425,7954277,6587279,8125975,10167484
63123732,6790616,7129511,"7394825,5",6433083,4497871,11413227,18470813,2239826,5152325,533511,0,2149476,1887662
63123783,8990392,12426219,13090430,15382622,18324831,24014127,31513567,32331329,40084642,48666838,47787154,78688379,106934841
