ID:EMPLEADOS:CONSEJOAPRO:SECTOR:DESC_SECTOR:RANGO_INGRESOS:CONSTITUCION:ESTADO_2022:ESTADO_2017:TIPOSOC:DEPARTAMENTO:PAISMATRIZ:PARTICIPACIONES
233151: 39 :Si:G:COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS:15000M-20000M:22/11/1972:ACTIVA:ACTIVA:08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS:BOGOTA D.C.::No
233207: 140 :Si:C:INDUSTRIAS MANUFACTURERAS:10000M-15000M:05/12/1972:ACTIVA:ACTIVA:08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS:BOGOTA D.C.::No
233235: 2 :Si:L:ACTIVIDADES INMOBILIARIAS:1500M-3000M:27/12/1972:ACTIVA:ACTIVA:08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS:BOGOTA D.C.::No
233284: 232 :No:C:INDUSTRIAS MANUFACTURERAS:>=100000M:14/12/1972:ACTIVA:ACTIVA:08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS:BOGOTA D.C.::No
233291: 145 :No:C:INDUSTRIAS MANUFACTURERAS:50000M-100000M:14/12/1972:ACTIVA:ACTIVA:08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS:BOGOTA D.C.::No
233382: 7 :No:A:AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA:< 1500M:20/11/1972:ACTIVA:ACTIVA:08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS:BOGOTA D.C.::No
233417: 32 :No:L:ACTIVIDADES INMOBILIARIAS:1500M-3000M:30/12/1972:ACTIVA:ACTIVA:03. SOCIEDAD LIMITADA:BOGOTA D.C.::No
233487: 302 :Si:C:INDUSTRIAS MANUFACTURERAS:>=100000M:27/12/1972:ACTIVA:ACTIVA:08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS:BOGOTA D.C.::No
233529: 6 :Si:L:ACTIVIDADES INMOBILIARIAS:< 1500M:29/12/1972:ACTIVA:ACTIVA:08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS:BOGOTA D.C.::No
233550: 85 :No:C:INDUSTRIAS MANUFACTURERAS:50000M-100000M:23/07/1971:ACTIVA:ACTIVA:08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS:BOGOTA D.C.::No
